Simulation,Pathway,NPV,NPV_millions,mortality
1017,A,882522146.608744,882.522146608744,77.592840246681
1017,B1,523024152.256206,523.024152256206,45.9851683576656
1017,B2,602373488.350462,602.373488350462,52.9616962362021
1017,B3,520634870.376961,520.634870376961,45.775098652477
1017,C1,482526603.283233,482.526603283233,42.4245553351857
1017,C2,565093789.670352,565.093789670352,49.6840020556701
1017,C3,489428958.28735,489.42895828735,43.031422065067
1017,D,833231307.410266,833.231307410266,73.2591062704299
1018,A,885562192.221842,885.562192221843,77.8601262003607
1018,B1,509294540.057154,509.294540057154,44.7780376243423
1018,B2,590555659.679256,590.555659679256,51.9226527451451
1018,B3,506529547.286579,506.529547286579,44.5349347819321
1018,C1,475417764.148685,475.417764148685,41.7995341712115
1018,C2,551719231.107849,551.719231107849,48.5080882387783
1018,C3,476385608.288164,476.385608288164,41.8846286654255
1018,D,819537843.899119,819.537843899119,72.0551537909062
1019,A,888332372.802204,888.332372802204,78.1036851637843
1019,B1,512654605.52419,512.65460552419,45.0734602650136
1019,B2,591809097.880514,591.809097880514,52.03285715246
1019,B3,510136468.291697,510.136468291697,44.8520613791603
1019,C1,477821581.358868,477.821581358868,42.0108818472883
1019,C2,554878651.04764,554.87865104764,48.7858697852272
1019,C3,479806890.236279,479.806890236279,42.1854335626839
1019,D,826228595.719774,826.228595719774,72.6434160108915
102,A,883167869.667313,883.167869667313,77.6496133104728
102,B1,517676310.003115,517.676310003115,45.5149770188952
102,B2,600116738.805385,600.116738805385,52.7632789980616
102,B3,513607709.149019,513.607709149019,45.1572587482404
102,C1,478059636.533519,478.059636533519,42.031812061003
102,C2,559585275.496102,559.585275496102,49.1996841697545
102,C3,483732399.4519,483.7323994519,42.5305709743908
102,D,826887873.393111,826.887873393111,72.7013808193465
1020,A,881948371.90746,881.94837190746,77.5423930041892
1020,B1,520122349.560237,520.122349560237,45.7300369551496
1020,B2,600438183.397698,600.438183397698,52.7915409504617
1020,B3,517166908.07953,517.16690807953,45.4701895399294
1020,C1,481775078.894192,481.775078894192,42.3584800394161
1020,C2,562298328.712264,562.298328712264,49.4382203986654
1020,C3,486744412.65969,486.74441265969,42.7953922715685
1020,D,833361487.841674,833.361487841674,73.2705519542082
1021,A,887209639.468444,887.209639468444,78.0049725495561
1021,B1,523027769.112778,523.027769112778,45.9854863578147
1021,B2,603861102.263652,603.861102263652,53.092489768306
1021,B3,519340038.275214,519.340038275214,45.6612548233978
1021,C1,483318598.293146,483.318598293146,42.4941888764135
1021,C2,564329605.832916,564.329605832916,49.6168137197794
1021,C3,487980228.741452,487.980228741452,42.9040473123229
1021,D,829932367.970367,829.932367970367,72.969057933482
1022,A,882016386.536982,882.016386536982,77.548372965489
1022,B1,519331646.94319,519.33164694319,45.6605170432892
1022,B2,600209260.471671,600.209260471671,52.7714136594966
1022,B3,516441958.612099,516.441958612099,45.4064507562292
1022,C1,479610730.72689,479.61073072689,42.1681868867412
1022,C2,561165126.799047,561.165126799047,49.3385873692198
1022,C3,484905693.532681,484.905693532681,42.6337289750396
1022,D,830395937.834904,830.395937834904,73.0098157802742
1023,A,881441375.248239,881.441375248239,77.4978170001357
1023,B1,525032423.682615,525.032423682615,46.161738979219
1023,B2,604975081.251836,604.975081251836,53.19043268566
1023,B3,522435832.560935,522.435832560935,45.9334422946942
1023,C1,483567072.613908,483.567072613908,42.5160351590823
1023,C2,566462844.922316,566.462844922316,49.8043717096926
1023,C3,490685837.486362,490.685837486362,43.1419290107263
