"Simulation","Pathway","NPV"
"443","D",99103167.3626669
"443","B3",238527975.802416
"443","B1",278658607.42204
"443","B2",618399427.002728
"443","C1",327493076.109346
"443","C2",360271106.361372
"443","A",23784057840.7827
"443","C3",165407351.961932
"444","B1",251816311.114008
"444","A",23096375261.0405
"451","D",95375541.0113927
"451","B3",252420025.26943
"451","B1",295262939.276218
"451","B2",653645168.130389
"451","C1",309787715.697152
"451","C2",381334877.229983
"451","A",23177121075.5653
"451","C3",177299305.378293
"452","D",95157637.2996586
"452","B3",236017371.899228
"452","B1",274188531.783397
"452","B2",618874693.240536
"452","C1",310593981.347386
"452","C2",357901049.697599
"452","A",23262472220.6091
"452","C3",163888421.42064
"453","D",98376261.0164794
"453","B3",233405359.679293
"453","B1",267801972.830255
"453","B2",579901411.745122
"453","C1",332085282.130928
"453","C2",349136446.794726
"453","A",23679507823.1813
"453","C3",163275644.259672
"454","A",23707134045.2364
"461","D",95602575.1329981
"461","B3",235634492.407929
"461","B1",274356750.369815
"461","B2",610681367.02062
"461","C1",321962125.011733
"461","C2",354760807.974535
"461","A",23436336442.2884
"461","C3",164765131.22677
"462","D",94232944.5260024
"462","B3",234240317.494868
"462","B1",274416171.791474
"462","B2",618812507.393227
"462","C1",315203167.00692
"462","C2",358719229.86621
"462","A",23308290491.86
"462","C3",166245178.329612
"463","D",96201204.0930116
"463","B3",243238917.07414
"463","B1",286878731.886574
"463","B2",635463699.797963
"463","C1",322447738.030335
"463","C2",369296711.906224
"463","A",23690824219.3502
"463","C3",171890477.609311
"471","D",103056491.853634
"471","B3",252136978.19512
"471","B1",295575804.788285
"471","B2",649851097.678621
"471","C1",337789750.595297
"471","C2",381280466.717223
"471","A",23927008167.2072
"471","C3",178774857.505172
"472","D",92501174.9885071
"472","B3",207606567.953607
"472","B1",246957216.111078
"472","B2",548709861.056095
"472","C1",308523388.636351
"472","C2",317367079.872168
"472","A",23202064912.833
"472","C3",146821982.313598
"473","B3",249956846.343893
"473","B1",292652987.09984
"473","B2",641179279.087025
"473","A",23399286349.9945
"481","D",98226641.0637731
"481","B3",248249920.043518
"481","B1",293920941.282631
"481","B2",660614997.881753
"481","C1",322645186.051641
"481","C2",377694109.497561
"481","A",23602845423.0683
"481","C3",176760305.789968
"482","D",96627732.3797337
"482","B3",228704961.62652
"482","B1",265735499.671544
"482","B2",590485907.512508
"482","C1",313978642.323177
"482","C2",346318956.921887
"482","A",23311978075.2916
"482","C3",158841742.795634
"483","A",23467185182.1383
"491","D",93936870.0781216
"491","B3",213573246.419008
"491","B1",245826833.498921
"491","B2",559831699.359908
"491","C1",317682387.5712
"491","C2",328538559.33658
"491","A",23565545451.0233
"491","C3",143123042.539587
"492","D",95194344.0660972
"492","B3",216543051.216096
"492","B1",255068275.988933
"492","B2",573415498.45486
"492","C1",309279490.088078
"492","C2",334252967.633506
"492","A",23062562628.4484
"492","C3",147738822.939114
"5","B1",284158317.513766
"5","B2",630579389.352719
"5","A",24356628268.2992
