County,State,Pathway,total_mean_emission,total_min_emission,total_max_emission
Hampden,MA,B3,4.60841775187111,4.45571368756436,4.73546795551895
Hampden,MA,C1,4.15092962879283,4.06224715938162,4.23004517314871
Hampden,MA,C2,4.92041192534016,4.77041089934794,5.02501605036166
Hampden,MA,C3,4.30876752874071,4.15886243422652,4.42581557462393
Hampden,MA,D,7.85762151740816,7.71774842667131,7.95795589708306
Fairfield,CT,A,54.2806049007897,54.0712623000956,54.5104663760166
Fairfield,CT,B1,24.8585468520983,23.9909558047171,25.352450552382
Fairfield,CT,B2,29.1359518275357,28.4850835919602,29.6156174947779
Fairfield,CT,B3,24.9839055899057,24.1270135670892,25.4563608244601
Fairfield,CT,C1,25.5649803378955,25.1670493944051,25.81588867213
Fairfield,CT,C2,27.553458548874,26.8986159296764,28.0044430842492
Fairfield,CT,C3,23.0068091488022,22.197779259267,23.4703952414148
Fairfield,CT,D,51.7877587302808,51.2460292451235,52.1563119838711
Newport,RI,A,10.675145585916,10.4850285512547,10.859987085063
Newport,RI,B1,7.48860413949746,7.39520198179659,7.58176892708257
Newport,RI,B2,8.10925479845439,7.99175143490644,8.23999598805114
Newport,RI,B3,7.44596047534733,7.3538219492283,7.54667444396266
Newport,RI,C1,6.0036092944757,5.92450322778599,6.07150743609858
Newport,RI,C2,7.67480682643091,7.58615174686034,7.77958136957626
Newport,RI,C3,7.02190857468472,6.94277884885525,7.11043504536727
Newport,RI,D,10.435869919485,10.2863792471016,10.56915435659
Penobscot,ME,A,0.253713276618784,0.247222768933412,0.26380786440164
Penobscot,ME,B1,0.027907319464701,0.0260342011180233,0.0314810956112348
Penobscot,ME,B2,0.0464865471327098,0.0436340944672086,0.051642988432414
Penobscot,ME,B3,0.0278927355610952,0.025926093825126,0.0316092583881887
Penobscot,ME,C1,0.0470146441552301,0.0432556410568658,0.0531284317303871
Penobscot,ME,C2,0.0398340403741802,0.0364376771193205,0.0450091526251876
Penobscot,ME,C3,0.023303375096518,0.0215128805611874,0.0267841332329432
Penobscot,ME,D,0.0991065299851249,0.0949940738402095,0.102332135669614
Oxford,ME,A,1.50831954491606,1.49156498689409,1.52380963552701
Oxford,ME,B1,0.881340585294878,0.86215987815888,0.89089487400339
Oxford,ME,B2,0.985288329262164,0.965660442620086,1.00138923657938
Oxford,ME,B3,0.878488746608446,0.859569988470829,0.888350260896052
Oxford,ME,C1,0.786999235468478,0.773557304712827,0.795914357928649
Oxford,ME,C2,0.934108178229308,0.919225688436329,0.945428332479044
Oxford,ME,C3,0.821903287302668,0.805930619982679,0.834209067847464
Oxford,ME,D,4.14899096759566,4.1294384060259,4.16126521634234
New Haven,CT,A,108.405911273233,107.836573428351,108.980712377235
New Haven,CT,B1,51.7464034869963,51.0675899583934,52.7095972225188
New Haven,CT,B2,57.863351976166,57.3528979362875,58.5032850264003
New Haven,CT,B3,51.6853239747724,51.0131442455062,52.6277990837189
New Haven,CT,C1,48.5135385631284,48.2409539577287,48.8584491565563
New Haven,CT,C2,55.026707559076,54.4817919278672,55.7698525935315
New Haven,CT,C3,48.6399548838797,47.9460751185054,49.6313826003095
New Haven,CT,D,98.3420027081537,97.9646840919314,99.0777479652139
Windham,CT,A,19.9812220001338,19.7050430914518,20.232977862633
Windham,CT,B1,6.204545736229,5.7594758218681,6.76337807360739
Windham,CT,B2,8.44387189330825,7.95585135829692,9.00191869442726
Windham,CT,B3,6.23991755971998,5.7989967281001,6.79690095179767
Windham,CT,C1,7.66001625701902,7.30836421807747,8.05435069906457
Windham,CT,C2,7.7271724363793,7.28785845705187,8.2977598413104
