County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Middlesex,CT,1,B3,197862.06840841,944861.242040689,9036083.80129184,4927.33717606806,4219877.15021346,204599.937016133,14608211.5361466,1.64605338414492
Middlesex,CT,1,C1,246854.416531155,1189260.7494811,8810821.11908703,6907.82641752302,4131200.42753308,201028.494980451,14586073.0340303,1.50207718189723
Coos,NH,1,B2,272552.127635536,282362.332855329,361380.264407745,0,25339147.0403894,269492.748632752,26524934.5139208,3.29274021322353
Coos,NH,1,B3,253409.826696139,262530.933205907,348484.375961761,0,24434917.2145444,259875.874758731,25559218.225167,3.12261969376222
Coos,NH,1,C1,188893.088381776,195692.027283286,241271.101716117,0,16917370.772864,179923.528678826,17723150.518924,1.93068360298022
Chittenden,VT,1,B2,58189.0377603154,8317.88653542618,94103.3105361504,0,3352253.40668392,47201.0473134888,3560064.6888293,0.341604332911976
Chittenden,VT,1,B3,57908.4307053841,8277.77453592853,94152.3743370346,0,3354001.21228951,47225.6571042998,3561565.44897215,0.341723130866797
Chittenden,VT,1,C1,59280.6857985292,8473.93267837379,95693.8731539025,0,3408914.20770702,47998.8536919025,3620361.55302973,0.347556911593538
Barnstable,MA,1,B2,523478.901193471,2614594.8722788,875919.529771735,20728.6049256276,564163.911488783,37086.1489753624,4635971.96863378,0.450997141227143
Barnstable,MA,1,B3,502905.241680701,2505767.47431264,875980.20120788,19346.4350441371,556957.46134438,35728.2557489795,4496685.06933872,0.437198460071161
Barnstable,MA,1,C1,602099.942454409,3028779.60924762,846258.691635969,22156.263049697,556211.878047783,37924.2779271096,5093430.66236259,0.496955886306419
Merrimack,NH,1,B2,3606288.36056829,12261353.8014282,532639.998470808,178262.707512649,757926.863411007,46247.8475630902,17382719.578954,1.69114992460371
Merrimack,NH,1,B3,3570880.15405491,12136180.994522,540822.249193838,181001.124025907,769569.901192533,46958.2926765778,17245412.7156658,1.67765467474679
Merrimack,NH,1,C1,3723153.44806243,12669033.2896899,501388.017184121,167803.367592076,713456.458972733,43534.313335956,17818368.8948372,1.73540346214571
