"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"B3","FOM","Offshore Wind","Moderate",7583180591.46029
"B3","FOM","Offshore Wind","Conservative",8643647769.65714
"B3","CAPEX","Storage","Advanced",12767417269.3243
"B3","CAPEX","Storage","Moderate",16261741137.0108
"B3","CAPEX","Storage","Conservative",22109430638.8217
"B3","FOM","Storage","Advanced",4806881463.91297
"B3","FOM","Storage","Moderate",6233956301.36815
"B3","FOM","Storage","Conservative",8690997002.62831
"B3","CAPEX","Nuclear","Advanced",0
"B3","CAPEX","Nuclear","Moderate",0
"B3","CAPEX","Nuclear","Conservative",0
"B3","FOM","Nuclear","Advanced",3260967839.42754
"B3","FOM","Nuclear","Moderate",4529121999.20492
"B3","FOM","Nuclear","Conservative",5279662216.21602
"B3","CAPEX","SMR","Advanced",0
"B3","CAPEX","SMR","Moderate",0
"B3","CAPEX","SMR","Conservative",0
"B3","FOM","SMR","Advanced",0
"B3","FOM","SMR","Moderate",0
"B3","FOM","SMR","Conservative",0
"B3","CAPEX","Hydropower","Advanced",0
"B3","CAPEX","Hydropower","Moderate",0
"B3","CAPEX","Hydropower","Conservative",0
"B3","FOM","Hydropower","Advanced",975607085.34568
"B3","FOM","Hydropower","Moderate",1649696124.64149
"B3","FOM","Hydropower","Conservative",1649696124.64149
"B3","CAPEX","Biomass","Advanced",0
"B3","CAPEX","Biomass","Moderate",0
"B3","CAPEX","Biomass","Conservative",0
"B3","FOM","Biomass","Advanced",774191251.410742
"B3","FOM","Biomass","Moderate",774191251.410742
"B3","FOM","Biomass","Conservative",774191251.410742
"C1","CAPEX","Solar","Advanced",0
"C1","CAPEX","Solar","Moderate",0
"C1","CAPEX","Solar","Conservative",0
"C1","FOM","Solar","Advanced",1637147905.79901
"C1","FOM","Solar","Moderate",1792332037.73116
"C1","FOM","Solar","Conservative",2001188188.25368
"C1","CAPEX","Onshore Wind","Advanced",0
"C1","CAPEX","Onshore Wind","Moderate",0
"C1","CAPEX","Onshore Wind","Conservative",0
"C1","FOM","Onshore Wind","Advanced",943767175.109644
"C1","FOM","Onshore Wind","Moderate",1097293035.13981
"C1","FOM","Onshore Wind","Conservative",1166231796.47493
"C1","CAPEX","Offshore Wind","Advanced",0
"C1","CAPEX","Offshore Wind","Moderate",0
"C1","CAPEX","Offshore Wind","Conservative",0
"C1","FOM","Offshore Wind","Advanced",813021668.138971
"C1","FOM","Offshore Wind","Moderate",879125900.587998
"C1","FOM","Offshore Wind","Conservative",983735500.178039
"C1","CAPEX","Storage","Advanced",0
"C1","CAPEX","Storage","Moderate",0
"C1","CAPEX","Storage","Conservative",0
"C1","FOM","Storage","Advanced",2158392380.28031
"C1","FOM","Storage","Moderate",2743203769.97906
"C1","FOM","Storage","Conservative",3711059855.69326
"C1","CAPEX","Nuclear","Advanced",0
"C1","CAPEX","Nuclear","Moderate",0
"C1","CAPEX","Nuclear","Conservative",0
"C1","FOM","Nuclear","Advanced",3260967839.42754
"C1","FOM","Nuclear","Moderate",4529121999.20492
"C1","FOM","Nuclear","Conservative",5279662216.21602
"C1","CAPEX","SMR","Advanced",55497346476.7913
"C1","CAPEX","SMR","Moderate",105949866959.054
"C1","CAPEX","SMR","Conservative",160566477345.725
"C1","FOM","SMR","Advanced",14547544622.5538
"C1","FOM","SMR","Moderate",16766661598.8756
"C1","FOM","SMR","Conservative",26629403715.8612
"C1","CAPEX","Hydropower","Advanced",0
"C1","CAPEX","Hydropower","Moderate",0
"C1","CAPEX","Hydropower","Conservative",0
"C1","FOM","Hydropower","Advanced",975607085.34568
"C1","FOM","Hydropower","Moderate",1649696124.64149
"C1","FOM","Hydropower","Conservative",1649696124.64149
"C1","CAPEX","Biomass","Advanced",0
"C1","CAPEX","Biomass","Moderate",0
"C1","CAPEX","Biomass","Conservative",0
"C1","FOM","Biomass","Advanced",774191251.410742
"C1","FOM","Biomass","Moderate",774191251.410742
"C1","FOM","Biomass","Conservative",774191251.410742
"C2","CAPEX","Solar","Advanced",24134425320.937
"C2","CAPEX","Solar","Moderate",28154174606.8306
"C2","CAPEX","Solar","Conservative",33949926118.7054
"C2","FOM","Solar","Advanced",5057628893.389
"C2","FOM","Solar","Moderate",5671913868.01498
"C2","FOM","Solar","Conservative",6522975642.21934
"C2","CAPEX","Onshore Wind","Advanced",6416594217.49994
"C2","CAPEX","Onshore Wind","Moderate",6770512898.22541
"C2","CAPEX","Onshore Wind","Conservative",7635949489.49141
"C2","FOM","Onshore Wind","Advanced",1966731058.65027
"C2","FOM","Onshore Wind","Moderate",2389104117.02807
"C2","FOM","Onshore Wind","Conservative",2568193298.86186
"C2","CAPEX","Offshore Wind","Advanced",40178928780.5936
"C2","CAPEX","Offshore Wind","Moderate",50499490865.6293
"C2","CAPEX","Offshore Wind","Conservative",66576621479.6629
"C2","FOM","Offshore Wind","Advanced",7945786518.82334
"C2","FOM","Offshore Wind","Moderate",8655133406.83736
"C2","FOM","Offshore Wind","Conservative",9866020003.78228
"C2","CAPEX","Storage","Advanced",12767417269.3243
"C2","CAPEX","Storage","Moderate",16261741137.0108
"C2","CAPEX","Storage","Conservative",22109430638.8217
"C2","FOM","Storage","Advanced",4806881463.91297
"C2","FOM","Storage","Moderate",6233956301.36815
"C2","FOM","Storage","Conservative",8690997002.62831
"C2","CAPEX","Nuclear","Advanced",0
"C2","CAPEX","Nuclear","Moderate",0
"C2","CAPEX","Nuclear","Conservative",0
"C2","FOM","Nuclear","Advanced",3260967839.42754
"C2","FOM","Nuclear","Moderate",4529121999.20492
"C2","FOM","Nuclear","Conservative",5279662216.21602
"C2","CAPEX","SMR","Advanced",6981908097.22192
"C2","CAPEX","SMR","Moderate",13211980418.017
"C2","CAPEX","SMR","Conservative",19804207325.2159
"C2","FOM","SMR","Advanced",1934185657.46639
"C2","FOM","SMR","Moderate",2229230927.24939
"C2","FOM","SMR","Conservative",3540543237.3961
"C2","CAPEX","Hydropower","Advanced",0
"C2","CAPEX","Hydropower","Moderate",0
"C2","CAPEX","Hydropower","Conservative",0
"C2","FOM","Hydropower","Advanced",975607085.34568
"C2","FOM","Hydropower","Moderate",1649696124.64149
"C2","FOM","Hydropower","Conservative",1649696124.64149
"C2","CAPEX","Biomass","Advanced",0
"C2","CAPEX","Biomass","Moderate",0
"C2","CAPEX","Biomass","Conservative",0
"C2","FOM","Biomass","Advanced",774191251.410742
"C2","FOM","Biomass","Moderate",774191251.410742
"C2","FOM","Biomass","Conservative",774191251.410742
"C3","CAPEX","Solar","Advanced",24134425320.937
"C3","CAPEX","Solar","Moderate",28154174606.8306
"C3","CAPEX","Solar","Conservative",33949926118.7054
"C3","FOM","Solar","Advanced",5057628893.389
"C3","FOM","Solar","Moderate",5671913868.01498
"C3","FOM","Solar","Conservative",6522975642.21934
"C3","CAPEX","Onshore Wind","Advanced",6416594217.49994
"C3","CAPEX","Onshore Wind","Moderate",6770512898.22541
"C3","CAPEX","Onshore Wind","Conservative",7635949489.49141
"C3","FOM","Onshore Wind","Advanced",1966731058.65027
"C3","FOM","Onshore Wind","Moderate",2389104117.02807
"C3","FOM","Onshore Wind","Conservative",2568193298.86186
"C3","CAPEX","Offshore Wind","Advanced",35092386228.5861
"C3","CAPEX","Offshore Wind","Moderate",44104151986.0158
"C3","CAPEX","Offshore Wind","Conservative",58143049171.1416
"C3","FOM","Offshore Wind","Advanced",6961834490.60685
"C3","FOM","Offshore Wind","Moderate",7583180591.46029
"C3","FOM","Offshore Wind","Conservative",8643647769.65714
"C3","CAPEX","Storage","Advanced",12767417269.3243
"C3","CAPEX","Storage","Moderate",16261741137.0108
"C3","CAPEX","Storage","Conservative",22109430638.8217
"C3","FOM","Storage","Advanced",4806881463.91297
"C3","FOM","Storage","Moderate",6233956301.36815
"C3","FOM","Storage","Conservative",8690997002.62831
"C3","CAPEX","Nuclear","Advanced",0
"C3","CAPEX","Nuclear","Moderate",0
"C3","CAPEX","Nuclear","Conservative",0
"C3","FOM","Nuclear","Advanced",3260967839.42754
"C3","FOM","Nuclear","Moderate",4529121999.20492
"C3","FOM","Nuclear","Conservative",5279662216.21602
"C3","CAPEX","SMR","Advanced",4972088100.59626
"C3","CAPEX","SMR","Moderate",8982656975.77451
"C3","CAPEX","SMR","Conservative",13061237396.3574
"C3","FOM","SMR","Advanced",1333629464.24967
"C3","FOM","SMR","Moderate",1537064467.27081
"C3","FOM","SMR","Conservative",2441220036.25364
"C3","CAPEX","Hydropower","Advanced",0
"C3","CAPEX","Hydropower","Moderate",0
"C3","CAPEX","Hydropower","Conservative",0
"C3","FOM","Hydropower","Advanced",975607085.34568
"C3","FOM","Hydropower","Moderate",1649696124.64149
"C3","FOM","Hydropower","Conservative",1649696124.64149
"C3","CAPEX","Biomass","Advanced",0
"C3","CAPEX","Biomass","Moderate",0
"C3","CAPEX","Biomass","Conservative",0
"C3","FOM","Biomass","Advanced",774191251.410742
"C3","FOM","Biomass","Moderate",774191251.410742
"C3","FOM","Biomass","Conservative",774191251.410742
"D","CAPEX","Solar","Advanced",4900756841.11702
"D","CAPEX","Solar","Moderate",5698433702.39511
"D","CAPEX","Solar","Conservative",6863209435.8016
"D","FOM","Solar","Advanced",2307241255.30539
"D","FOM","Solar","Moderate",2550850358.70232
"D","FOM","Solar","Conservative",2883691429.28444
"D","CAPEX","Onshore Wind","Advanced",2555270469.67705
"D","CAPEX","Onshore Wind","Moderate",2701220780.14915
"D","CAPEX","Onshore Wind","Conservative",3056980335.8435
"D","FOM","Onshore Wind","Advanced",1339960399.55364
"D","FOM","Onshore Wind","Moderate",1599875163.60705
"D","FOM","Onshore Wind","Conservative",1712193547.34849
"D","CAPEX","Offshore Wind","Advanced",2045894499.31819
"D","CAPEX","Offshore Wind","Moderate",2596975391.11693
"D","CAPEX","Offshore Wind","Conservative",3447830284.66234
"D","FOM","Offshore Wind","Advanced",1183699747.83053
"D","FOM","Offshore Wind","Moderate",1282995008.46423
"D","FOM","Offshore Wind","Conservative",1444333686.61381
"D","CAPEX","Storage","Advanced",12767417269.3243
"D","CAPEX","Storage","Moderate",16261741137.0108
"D","CAPEX","Storage","Conservative",22109430638.8217
"D","FOM","Storage","Advanced",4806881463.91297
"D","FOM","Storage","Moderate",6233956301.36815
"D","FOM","Storage","Conservative",8690997002.62831
"D","CAPEX","Nuclear","Advanced",0
"D","CAPEX","Nuclear","Moderate",0
"D","CAPEX","Nuclear","Conservative",0
"D","FOM","Nuclear","Advanced",3260967839.42754
"D","FOM","Nuclear","Moderate",4529121999.20492
"D","FOM","Nuclear","Conservative",5279662216.21602
"D","CAPEX","SMR","Advanced",0
"D","CAPEX","SMR","Moderate",0
"D","CAPEX","SMR","Conservative",0
"D","FOM","SMR","Advanced",0
"D","FOM","SMR","Moderate",0
"D","FOM","SMR","Conservative",0
"D","CAPEX","Hydropower","Advanced",0
"D","CAPEX","Hydropower","Moderate",0
"D","CAPEX","Hydropower","Conservative",0
"D","FOM","Hydropower","Advanced",975607085.34568
"D","FOM","Hydropower","Moderate",1649696124.64149
"D","FOM","Hydropower","Conservative",1649696124.64149
"D","CAPEX","Biomass","Advanced",0
"D","CAPEX","Biomass","Moderate",0
"D","CAPEX","Biomass","Conservative",0
"D","FOM","Biomass","Advanced",774191251.410742
"D","FOM","Biomass","Moderate",774191251.410742
"D","FOM","Biomass","Conservative",774191251.410742
