Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD
2036,1075,B1,39566.8837982826,27365.1044449663,19648687.1132688,1398.01952104579,9354221.67460204,432407.463363945,29503646.2589991
2037,1075,B1,36717.9112967996,25297.3981798252,18858484.1695762,1342.15886333295,8989388.79828345,414816.901072968,28326047.3372726
2038,1075,B1,34591.2617425272,24195.0949863323,18064820.6048554,1218.15118139982,8634711.69141934,397323.059688584,27156859.8638736
2039,1075,B1,34243.2983625938,23544.719848522,17725054.4573586,1200.519654479,8471141.75001196,389709.43064044,26644894.1758766
2040,1075,B1,33918.6943691566,23624.2141851444,17603617.1544531,1066.16645530222,8391914.79995818,386716.596551838,26440857.6259727
2041,1075,B1,21138.784032734,14581.4764454387,13018318.5437583,763.691098748362,6258154.5618092,284435.811412356,19597392.8685567
2042,1075,B1,20339.2558675327,14183.558458193,12648549.9738077,705.441055689879,6049670.95566929,275816.40576562,19009265.5906241
2043,1075,B1,19008.8118517366,13324.1383080295,12142723.420004,638.184262400522,5856808.7738338,264913.430498159,18297416.7587581
2044,1075,B1,17699.3830618447,12545.5670517735,11665376.8500713,517.456797158616,5590747.10424776,253793.330597389,17540679.6918272
2045,1075,B1,15798.0223641585,11104.1196384951,10655523.6487679,532.715897658175,5098309.15739724,230994.791502908,16012262.4555683
2046,1075,B1,14789.66548805,10202.6416224983,10175918.4470687,503.076516461073,4844370.44630012,219960.146139919,15265744.4231358
2031,1075,B2,56545.4757937418,41031.8526759168,26681609.3667618,2169.27697373179,12434594.8935859,587094.454369515,39803045.3201606
2032,1075,B2,53532.2253226795,38835.930401807,25827978.3981582,1978.34373394286,12072865.2048592,568473.503265511,38563663.6057413
2033,1075,B2,50326.6540443583,36423.0827112959,25075064.3604901,1828.40820316688,11741591.2884846,552027.828093834,37457261.6220274
2034,1075,B2,47441.5892591565,34602.6414831598,23850318.599625,1776.91378659884,11207983.9067636,525211.101795808,35667334.7527133
2035,1075,B2,45807.7929837936,33540.0946787092,23435145.6622926,1618.47071343001,11025896.0657188,516164.999470753,35058173.0858581
2036,1075,B2,43824.7409994896,31952.4481216843,22589049.3866784,1549.75129484286,10662303.4530549,497693.613078681,33826373.3932281
2037,1075,B2,40228.8519785673,29185.2694702423,21424664.951927,1417.77370766823,10139349.8876496,471983.48792074,32106830.2226539
2038,1075,B2,37433.0630076386,27309.5186034606,20192999.3441699,1215.87485251608,9580326.10500336,444719.636349014,30284003.5419859
2039,1075,B2,35409.93464079,25540.4793392355,19710367.0105314,1226.62475731394,9367467.20169457,434112.485486592,29574123.7364499
2040,1075,B2,34845.0710642741,25202.2289782072,19498179.6860036,1064.0237282543,9254414.16593477,429246.596739985,29242951.7724491
2041,1075,B2,30245.2819549973,21636.1413261843,17744700.4358506,947.246470155923,8488715.80908239,390767.919286147,26677012.8339705
2042,1075,B2,29054.7024959476,21076.1423851662,17055365.5591658,859.283272508349,8128923.60052787,374893.733030798,25610173.0208781
2043,1075,B2,26970.9698960571,19530.948437508,16341926.497171,783.847038710277,7829097.60457294,359345.008323908,24577654.8754401
2044,1075,B2,24216.3214747512,17482.4991324817,15490971.9301885,624.625218424502,7405516.85292757,340111.665734411,23278923.8946762
2045,1075,B2,21229.0109868859,15292.1062418274,14135771.152452,639.501888594044,6782329.5041251,310012.825202489,21265274.1008968
2046,1075,B2,20156.0819160372,13887.5917970988,13260529.7850187,551.304410147394,6358912.08221647,290200.341442399,19944237.1868008
2031,1075,B3,47154.5717003556,31935.8508243042,22205710.5237359,1890.65363007403,10479909.7038049,488495.157555463,33255096.461251
2032,1075,B3,46580.272420975,31818.2619897585,22017759.2906242,1811.18835328944,10404359.7946251,484424.848510791,32986753.6565241
2033,1075,B3,44842.69388715,30710.2827642705,21637432.7274687,1692.62132895147,10241702.2948038,476154.016703582,32432534.6369565
2034,1075,B3,43625.4613125837,29946.9158250047,20983149.9460295,1689.54236364067,9947725.48207382,461742.466814931,31467879.8144194
2035,1075,B3,44124.8198223542,30266.3313215986,21038820.953642,1585.17599123339,9985016.89905185,463151.933392215,31562966.1132213
2036,1075,B3,33966.4461870968,23258.1459642307,17715938.910311,1299.63375749866,8490935.8800562,389713.633732801,26655112.6500088
2037,1075,B3,32077.8681051631,22017.7853199306,17169165.8698478,1291.67892749839,8234911.28228645,377543.35695899,25837007.8414459
2038,1075,B3,30466.0714512976,21181.1989584968,16622762.6349883,1180.15487620808,7983659.27795123,365373.496481152,25024622.8347067
2039,1075,B3,30335.026324274,20767.394347939,16390259.4286648,1165.96427216199,7861323.16500095,360062.122506796,24663913.1011169
2040,1075,B3,30624.4689770934,21260.7174522858,16352005.1539549,1070.95229969327,7844997.98594195,359185.335255985,24609144.6138819
2041,1075,B3,21311.5317981645,14571.5623541365,12899868.1527156,829.908494161975,6204566.26596393,281821.774625398,19422969.1959514
2042,1075,B3,20567.9267786144,14232.3799174105,12680055.2926616,779.576212696396,6075589.27262916,276665.020704634,19067889.4689041
2043,1075,B3,19681.7644853469,13750.3157561499,12217417.2565687,711.893888436121,5886444.59465977,266545.79840191,18404551.6237603
2044,1075,B3,18066.6401945,12597.2426957188,11687368.6738515,559.920958318564,5596314.78249432,254256.099622792,17569163.3598171
2045,1075,B3,16247.2395770311,11379.960777702,10750083.3252933,602.90932039697,5151067.9797697,233257.245513814,16162638.6602519
2046,1075,B3,12356.0222050283,8511.29054385946,8989489.88540949,455.948062820356,4221632.51562749,192709.458997784,13425155.1208465
2031,1075,C1,101162.758728345,74658.607610282,32319095.4753194,3464.48380391987,14758430.9492633,708068.578500116,47964880.8532253
2032,1075,C1,79758.1093905335,57393.4863579935,27983590.4035707,3207.64138815969,12884273.6053066,613605.072354862,41621828.3183689
2033,1075,C1,57651.7336816239,42242.99700621,23204175.8378724,2814.93051587968,10812643.8638864,509128.607352057,34628657.9703146
2034,1075,C1,40468.8889274959,30464.7304423555,18339241.3316136,2321.70694862973,8713130.60686049,402691.136122321,27528318.4009149
2035,1075,C1,29054.8729057388,22149.1442502308,14278651.9270331,1807.43207843636,6879360.61197513,312925.798872833,21523949.7871154
2036,1075,C1,21045.0849474678,16040.0269004245,11136517.2957486,1311.94789943786,5341399.32029258,242231.911600372,16758545.5873889
2037,1075,C1,15315.3704555469,11705.8686000818,8898603.91191617,1034.11061338073,4153127.6862339,190922.430838288,13270709.3786574
2038,1075,C1,11427.0460509478,8753.70287006449,7322367.55397025,795.750758564463,3264591.67265885,154174.925049968,10762110.6513586
2039,1075,C1,8709.08766120188,6691.14329974726,6261271.11377759,614.849676458843,2691833.01372913,129672.070042457,9098791.27818658
2040,1075,C1,6933.36824020514,5388.32769520695,5585372.2897389,434.652070722568,2301636.68089283,113725.160043685,8013490.47868155
2041,1075,C1,5265.59277628546,4145.02705360736,4884285.11447527,375.410691740856,1930761.53931557,97626.3055362123,6922458.98984868
2042,1075,C1,4118.3659843094,3317.6249200561,4365449.57540898,234.295927835686,1665572.67716253,85738.2409407102,6124430.78034442
2043,1075,C1,3256.97567600967,2681.82307393423,4069218.02981229,159.176318919247,1510205.84124958,78923.9940472752,5664445.840178
2044,1075,C1,3092.10124944162,2506.06856405076,3858873.17941423,85.6652413625655,1392727.27115279,73954.7676781364,5331239.05330001
