Year,Simulation,Pathway,total_CO2_tons
2041,1203,B3,0
2042,1203,B3,0
2043,1203,B3,0
2044,1203,B3,0
2045,1203,B3,0
2046,1203,B3,0
2047,1203,B3,0
2048,1203,B3,0
2049,1203,B3,0
2050,1203,B3,0
2025,1203,C1,0
2026,1203,C1,0
2027,1203,C1,0
2028,1203,C1,0
2029,1203,C1,0
2030,1203,C1,0
2031,1203,C1,0
2032,1203,C1,0
2033,1203,C1,0
2034,1203,C1,0
2035,1203,C1,0
2036,1203,C1,0
2037,1203,C1,0
2038,1203,C1,0
2039,1203,C1,0
2040,1203,C1,0
2041,1203,C1,0
2042,1203,C1,0
2043,1203,C1,0
2044,1203,C1,0
2045,1203,C1,0
2046,1203,C1,0
2047,1203,C1,0
2048,1203,C1,0
2049,1203,C1,0
2050,1203,C1,0
2025,1203,C2,0
2026,1203,C2,0
2027,1203,C2,0
2028,1203,C2,0
2029,1203,C2,0
2030,1203,C2,0
2031,1203,C2,0
2032,1203,C2,0
2033,1203,C2,0
2034,1203,C2,0
2035,1203,C2,0
2036,1203,C2,0
2037,1203,C2,0
2038,1203,C2,0
2039,1203,C2,0
2040,1203,C2,0
2041,1203,C2,0
2042,1203,C2,0
2043,1203,C2,0
2044,1203,C2,0
2045,1203,C2,0
2046,1203,C2,0
2047,1203,C2,0
2048,1203,C2,0
2049,1203,C2,0
2050,1203,C2,0
2025,1203,C3,0
2026,1203,C3,0
2027,1203,C3,0
2028,1203,C3,0
2029,1203,C3,0
2030,1203,C3,0
2031,1203,C3,0
2032,1203,C3,0
2033,1203,C3,0
2034,1203,C3,0
2035,1203,C3,0
2036,1203,C3,0
2037,1203,C3,0
2038,1203,C3,0
2039,1203,C3,0
2040,1203,C3,0
2041,1203,C3,0
2042,1203,C3,0
2043,1203,C3,0
2044,1203,C3,0
2045,1203,C3,0
2046,1203,C3,0
2047,1203,C3,0
2048,1203,C3,0
2049,1203,C3,0
2050,1203,C3,0
2025,1203,D,0
2026,1203,D,0
2027,1203,D,0
2028,1203,D,0
2029,1203,D,0
2030,1203,D,0
2031,1203,D,0
2032,1203,D,0
2033,1203,D,0
2034,1203,D,0
2035,1203,D,0
2036,1203,D,0
2037,1203,D,0
2038,1203,D,0
2039,1203,D,0
2040,1203,D,0
2041,1203,D,0
2042,1203,D,0
2043,1203,D,0
2044,1203,D,0
2045,1203,D,0
2046,1203,D,0
2047,1203,D,0
2048,1203,D,0
2049,1203,D,0
2050,1203,D,0
2025,1204,A,0
2026,1204,A,0
2027,1204,A,0
2028,1204,A,0
2029,1204,A,0
2030,1204,A,0
2031,1204,A,0
2032,1204,A,0
2033,1204,A,0
2034,1204,A,0
2035,1204,A,0
2036,1204,A,0
2037,1204,A,0
2038,1204,A,0
2039,1204,A,0
