"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"251","B2","NB","Lower",440002884.056336
"251","B2","NB","Upper",1310322263.22952
"251","C1","QC","Lower",2885684868.46104
"251","C1","QC","Upper",8593528053.61363
"251","C1","NYISO","Lower",2851588328.40444
"251","C1","NYISO","Upper",8568474544.48449
"251","C1","NB","Lower",440002884.056336
"251","C1","NB","Upper",1310322263.22952
"251","C2","QC","Lower",2885684868.46104
"251","C2","QC","Upper",8593528053.61363
"251","C2","NYISO","Lower",4203096516.84501
"251","C2","NYISO","Upper",12629496745.3276
"251","C2","NB","Lower",440002884.056336
"251","C2","NB","Upper",1310322263.22952
"251","A","QC","Lower",2885684868.46104
"251","A","QC","Upper",8593528053.61363
"251","A","NYISO","Lower",2851588328.40444
"251","A","NYISO","Upper",8568474544.48449
"251","A","NB","Lower",440002884.056336
"251","A","NB","Upper",1310322263.22952
"251","C3","QC","Lower",13036601827.4227
"251","C3","QC","Upper",38822812827.6163
"251","C3","NYISO","Lower",4203096516.84501
"251","C3","NYISO","Upper",12629496745.3276
"251","C3","NB","Lower",440002884.056336
"251","C3","NB","Upper",1310322263.22952
"252","B1","QC","Lower",12932752774.66
"252","B1","QC","Upper",38513551841.4252
"252","B1","NYISO","Lower",4192695019.82417
"252","B1","NYISO","Upper",12598242247.0678
"252","B1","NB","Lower",416566138.509346
"252","B1","NB","Upper",1240527971.9177
"252","A","QC","Lower",2834168790.95263
"252","A","QC","Upper",8440113915.38977
"252","A","NYISO","Lower",2843757447.89692
"252","A","NYISO","Upper",8544944254.49796
"252","A","NB","Lower",416566138.509346
"252","A","NB","Upper",1240527971.9177
"261","D","QC","Lower",13017325223.4615
"261","D","QC","Upper",38765407378.1408
"261","D","NYISO","Lower",4239773632.33511
"261","D","NYISO","Upper",12739704424.0839
"261","D","NB","Lower",427301933.374481
"261","D","NB","Upper",1272499014.68807
"261","B3","QC","Lower",16609491433.024
"261","B3","QC","Upper",49462826709.1646
"261","B3","NYISO","Lower",4239773632.33511
"261","B3","NYISO","Upper",12739704424.0839
