"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1003","C3","NYISO","Upper",20958090002.469
"1003","C3","NB","Lower",774045680.300299
"1003","C3","NB","Upper",2305096908.23812
"1003","D","QC","Lower",24639546132.7285
"1003","D","QC","Upper",73376214164.6578
"1003","D","NYISO","Lower",6974852352.82167
"1003","D","NYISO","Upper",20958090002.469
"1003","D","NB","Lower",774045680.300299
"1003","D","NB","Upper",2305096908.23812
"1004","A","QC","Lower",4701159207.33427
"1004","A","QC","Upper",13999984535.4828
"1004","A","NYISO","Lower",4106195173.86767
"1004","A","NYISO","Upper",12338326844.5543
"1004","A","NB","Lower",758336870.633399
"1004","A","NB","Upper",2258316298.88025
"1004","B1","QC","Lower",24518635677.4538
"1004","B1","QC","Upper",73016144567.0608
"1004","B1","NYISO","Lower",6622797356.86407
"1004","B1","NYISO","Upper",19900232442.5002
"1004","B1","NB","Lower",758336870.633399
"1004","B1","NB","Upper",2258316298.88025
"1004","B2","QC","Lower",4701159207.33427
"1004","B2","QC","Upper",13999984535.4828
"1004","B2","NYISO","Lower",6622797356.86407
"1004","B2","NYISO","Upper",19900232442.5002
"1004","B2","NB","Lower",758336870.633399
"1004","B2","NB","Upper",2258316298.88025
"1004","B3","QC","Lower",32874864998.9628
"1004","B3","QC","Upper",97900875357.1949
"1004","B3","NYISO","Lower",6622797356.86407
"1004","B3","NYISO","Upper",19900232442.5002
"1004","B3","NB","Lower",758336870.633399
"1004","B3","NB","Upper",2258316298.88025
"1004","C1","QC","Lower",4701159207.33427
"1004","C1","QC","Upper",13999984535.4828
"1004","C1","NYISO","Lower",4106195173.86767
"1004","C1","NYISO","Upper",12338326844.5543
"1004","C1","NB","Lower",758336870.633399
"1004","C1","NB","Upper",2258316298.88025
"1004","C2","QC","Lower",4701159207.33427
"1004","C2","QC","Upper",13999984535.4828
"1004","C2","NYISO","Lower",6622797356.86407
"1004","C2","NYISO","Upper",19900232442.5002
"1004","C2","NB","Lower",758336870.633399
"1004","C2","NB","Upper",2258316298.88025
"1004","C3","QC","Lower",24518635677.4538
"1004","C3","QC","Upper",73016144567.0608
"1004","C3","NYISO","Lower",6622797356.86407
"1004","C3","NYISO","Upper",19900232442.5002
"1004","C3","NB","Lower",758336870.633399
"1004","C3","NB","Upper",2258316298.88025
"1004","D","QC","Lower",24518635677.4538
"1004","D","QC","Upper",73016144567.0608
"1004","D","NYISO","Lower",6622797356.86407
"1004","D","NYISO","Upper",19900232442.5002
"1004","D","NB","Lower",758336870.633399
"1004","D","NB","Upper",2258316298.88025
"1005","A","QC","Lower",4693082862.19457
"1005","A","QC","Upper",13975933295.7624
"1005","A","NYISO","Lower",4352070077.72996
"1005","A","NYISO","Upper",13077133647.0251
"1005","A","NB","Lower",718158151.827612
"1005","A","NB","Upper",2138664651.88669
"1005","B1","QC","Lower",24501179277.1442
"1005","B1","QC","Upper",72964159657.8925
"1005","B1","NYISO","Lower",7019183783.25308
"1005","B1","NYISO","Upper",21091297425.6403
"1005","B1","NB","Lower",718158151.827612
"1005","B1","NB","Upper",2138664651.88669
"1005","B2","QC","Lower",4693082862.19457
"1005","B2","QC","Upper",13975933295.7624
"1005","B2","NYISO","Lower",7019183783.25308
"1005","B2","NYISO","Upper",21091297425.6403
"1005","B2","NB","Lower",718158151.827612
"1005","B2","NB","Upper",2138664651.88669
"1005","B3","QC","Lower",32855168774.4995
"1005","B3","QC","Upper",97842220283.8965
"1005","B3","NYISO","Lower",7019183783.25308
"1005","B3","NYISO","Upper",21091297425.6403
"1005","B3","NB","Lower",718158151.827612
"1005","B3","NB","Upper",2138664651.88669
"1005","C1","QC","Lower",4693082862.19457
"1005","C1","QC","Upper",13975933295.7624
"1005","C1","NYISO","Lower",4352070077.72996
"1005","C1","NYISO","Upper",13077133647.0251
"1005","C1","NB","Lower",718158151.827612
"1005","C1","NB","Upper",2138664651.88669
"1005","C2","QC","Lower",4693082862.19457
"1005","C2","QC","Upper",13975933295.7624
"1005","C2","NYISO","Lower",7019183783.25308
