"Pathway","Simulation","sum_NPV"
"B1",105,16.8807001952288
"B2",105,20.2182237101886
"B3",105,16.8653223335925
"C1",105,16.8927687453774
"C2",105,18.8060776286496
"C3",105,15.5490749797908
"D",105,60.9399294752833
"A",106,44.3698773898574
"B1",106,17.2954612548377
"B2",106,20.5930016115779
"B3",106,17.2813942950557
"C1",106,17.1897947323606
"C2",106,19.2048140830488
"C3",106,15.9471572788863
"D",106,61.4431010442862
"A",107,44.3493566692675
"B1",107,17.1149402713772
"B2",107,20.3953366685023
"B3",107,17.0989604481161
"C1",107,17.0865837346772
"C2",107,19.0323805347794
"C3",107,15.7759051267278
"D",107,61.2844622205842
"A",108,44.4148229002705
"B1",108,16.8852879594175
"B2",108,20.1822387287021
"B3",108,16.8664234577614
"C1",108,16.9504800973869
"C2",108,18.8189791556087
"C3",108,15.5524961729893
"D",108,61.047216991708
"A",109,44.4356345851975
"B1",109,17.0470574725226
"B2",109,20.4069520741793
"B3",109,17.008655776335
"C1",109,16.9853814421978
"C2",109,18.9830843538316
"C3",109,15.6806000356922
"D",109,61.106708011319
"A",11,44.5391139277986
"B1",11,17.4288404960322
"B2",11,20.8323490126072
"B3",11,17.3902101246459
"C1",11,17.2070523778125
"C2",11,19.3566933610742
"C3",11,16.0590275561928
"D",11,61.4700514369224
"A",110,44.2034957067885
"B1",110,16.3544943452343
"B2",110,19.6786740706314
"B3",110,16.359215495026
"C1",110,16.6880182387285
"C2",110,18.3182052514517
"C3",110,15.0695813575932
"D",110,60.4948628787323
"A",111,44.2168557950043
"B1",111,17.162423281249
"B2",111,20.4710219093756
"B3",111,17.1392890868774
"C1",111,17.0664120549791
"C2",111,19.0686768059297
"C3",111,15.811601256743
"D",111,61.2627500741199
"A",112,44.1238090974492
"B1",112,16.8018699168471
"B2",112,20.1366855110711
"B3",112,16.7738797933754
"C1",112,16.8246506870445
"C2",112,18.7388260821061
"C3",112,15.466517856249
"D",112,60.7696250846786
"A",113,44.3799838275949
"B1",113,17.7669635607884
"B2",113,21.0382993158364
"B3",113,17.7319333660742
"C1",113,17.4049494843577
"C2",113,19.6276500272827
"C3",113,16.389938206704
"D",113,61.8683786912412
"A",114,44.4431325590037
"B1",114,17.3536899946542
"B2",114,20.6763605349458
"B3",114,17.3194472815243
"C1",114,17.1780571916045
"C2",114,19.2718778214751
"C3",114,15.9928277718812
"D",114,61.4800690479076
