"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"C1","CAPEX","Onshore Wind","Advanced",0
"C1","CAPEX","Onshore Wind","Moderate",0
"C1","CAPEX","Onshore Wind","Conservative",0
"C1","FOM","Onshore Wind","Advanced",1604435285.69118
"C1","FOM","Onshore Wind","Moderate",1941294514.36934
"C1","FOM","Onshore Wind","Conservative",2084459551.75645
"C1","CAPEX","Offshore Wind","Advanced",0
"C1","CAPEX","Offshore Wind","Moderate",0
"C1","CAPEX","Offshore Wind","Conservative",0
"C1","FOM","Offshore Wind","Advanced",1436020611.79607
"C1","FOM","Offshore Wind","Moderate",1558153206.10662
"C1","FOM","Offshore Wind","Conservative",1758917012.00058
"C1","CAPEX","Storage","Advanced",0
"C1","CAPEX","Storage","Moderate",0
"C1","CAPEX","Storage","Conservative",0
"C1","FOM","Storage","Advanced",3648938175.40863
"C1","FOM","Storage","Moderate",4718583623.06993
"C1","FOM","Storage","Conservative",6548858835.26957
"C1","CAPEX","Nuclear","Advanced",0
"C1","CAPEX","Nuclear","Moderate",0
"C1","CAPEX","Nuclear","Conservative",0
"C1","FOM","Nuclear","Advanced",7013608006.99522
"C1","FOM","Nuclear","Moderate",9741122231.93781
"C1","FOM","Nuclear","Conservative",11355365344.6589
"C1","CAPEX","SMR","Advanced",114013313117.907
"C1","CAPEX","SMR","Moderate",222293808272.363
"C1","CAPEX","SMR","Conservative",342257389283.13
"C1","FOM","SMR","Advanced",38930300860.6727
"C1","FOM","SMR","Moderate",44868821330.9448
"C1","FOM","SMR","Conservative",71262245643.2652
"C1","CAPEX","Hydropower","Advanced",0
"C1","CAPEX","Hydropower","Moderate",0
"C1","CAPEX","Hydropower","Conservative",0
"C1","FOM","Hydropower","Advanced",1663497054.82507
"C1","FOM","Hydropower","Moderate",2985109125.29314
"C1","FOM","Hydropower","Conservative",2985109125.29314
"C1","CAPEX","Biomass","Advanced",0
"C1","CAPEX","Biomass","Moderate",0
"C1","CAPEX","Biomass","Conservative",0
"C1","FOM","Biomass","Advanced",1400891554.98899
"C1","FOM","Biomass","Moderate",1400891554.98899
"C1","FOM","Biomass","Conservative",1400891554.98899
"C2","CAPEX","Solar","Advanced",41434082918.0665
"C2","CAPEX","Solar","Moderate",49481857400.0639
"C2","CAPEX","Solar","Conservative",61299903016.2878
"C2","FOM","Solar","Advanced",10692668690.4512
"C2","FOM","Solar","Moderate",12095027513.1164
"C2","FOM","Solar","Conservative",14083612281.8873
"C2","CAPEX","Onshore Wind","Advanced",11877219090.7203
"C2","CAPEX","Onshore Wind","Moderate",12639053943.4636
"C2","CAPEX","Onshore Wind","Conservative",14478432566.6728
"C2","FOM","Onshore Wind","Advanced",3922849299.72355
"C2","FOM","Onshore Wind","Moderate",4976927417.43461
"C2","FOM","Onshore Wind","Conservative",5404017033.56216
"C2","CAPEX","Offshore Wind","Advanced",80562363336.4012
"C2","CAPEX","Offshore Wind","Moderate",99279588112.036
"C2","CAPEX","Offshore Wind","Conservative",127450108339.972
"C2","FOM","Offshore Wind","Advanced",19001576912.0473
"C2","FOM","Offshore Wind","Moderate",20737601448.7011
"C2","FOM","Offshore Wind","Conservative",23763779792.8996
"C2","CAPEX","Storage","Advanced",22412820402.6308
"C2","CAPEX","Storage","Moderate",28982097137.0744
"C2","CAPEX","Storage","Conservative",40271820539.0196
"C2","FOM","Storage","Advanced",9674090376.29551
"C2","FOM","Storage","Moderate",12805487656.1934
"C2","FOM","Storage","Conservative",18354107290.2787
