"Simulation","Pathway","NPV"
"1008","A",493311688410.039
"1008","B1",5370265538.75323
"1008","B2",11618462606.3359
"1008","B3",4625190345.48991
"1008","C1",5665416527.77586
"1008","C2",6769205421.74002
"1008","C3",3307344207.31323
"1008","D",2468096496.33162
"1009","A",483026001624.805
"1009","B1",5484689428.50071
"1009","B2",11863995190.1546
"1009","B3",4589001556.17835
"1009","C1",5411042929.41466
"1009","C2",6758731295.38298
"1009","C3",3338425613.06007
"1009","D",2289298484.538
"101","A",494907458450.712
"101","B1",5311829714.69613
"101","B2",11823305728.9852
"101","B3",4539308556.42322
"101","C1",5681839551.73035
"101","C2",6718406106.12982
"101","C3",3239223179.48616
"101","D",2488732173.53494
"1010","A",498856086241.318
"1010","B1",5727658374.04089
"1010","B2",12477369860.9095
"1010","B3",4839379880.56911
"1010","C1",5821278017.07391
"1010","C2",7230554419.65887
"1010","C3",3397006322.06984
"1010","D",2527545956.35041
"102","A",487668235754.087
"102","B1",5791993268.83269
"102","B2",13021146255.8421
"102","B3",4818027167.70875
"102","C1",5524108479.68218
"102","C2",7257926160.88593
"102","C3",3431180271.02183
"102","D",2352246094.97491
"103","A",499011256350.805
"103","B1",5611344157.51863
"103","B2",12474770705.2114
"103","B3",4712909301.72263
"103","C1",5752867700.76284
"103","C2",7115061079.42806
"103","C3",3302660527.68756
"103","D",2457679054.33487
"104","A",488401316516.13
"104","B1",5144598140.02404
"104","B2",11516053011.331
"104","B3",4327683125.19076
"104","C1",5373297338.55098
"104","C2",6524416151.31321
"104","C3",3076940332.42212
"104","D",2329907976.28031
"105","A",495129842864.395
"105","B1",4907145667.3732
"105","B2",11132694530.9061
"105","B3",4221138004.23829
"105","C1",5610651684.23941
"105","C2",6300061801.7184
"105","C3",2973707680.59995
"105","D",2402879094.80201
"106","A",497090768106.997
"106","B1",5198433005.04137
"106","B2",11577239030.1889
"106","B3",4414127023.06837
"106","C1",5706346684.90702
"106","C2",6617358419.15444
"106","C3",3121879576.26886
"106","D",2465427438.7313
"107","A",495775548222.677
"107","B1",5405611721.10577
"107","B2",12047541825.6627
"107","B3",4600709905.74643
"107","C1",5716033093.32348
"107","C2",6883764304.70672
"107","C3",3260941870.4201
