Simulation,Pathway,NPV
1008,A,1444147978.60478
1008,B1,676975351.11744
1008,B2,777156715.632511
1008,B3,671448878.076385
1008,C1,615794784.118618
1008,C2,725560079.152174
1008,C3,633111389.481114
1008,D,1353407204.73863
1009,A,1449606939.79775
1009,B1,674553805.775944
1009,B2,773434361.074363
1009,B3,669719929.87019
1009,C1,621180988.820386
1009,C2,723384398.307644
1009,C3,631213122.546464
1009,D,1359564433.68873
101,A,1441451681.47864
101,B1,684346459.722885
101,B2,786003113.745175
101,B3,679481178.407801
101,C1,621082462.467444
101,C2,733243607.234849
101,C3,639775990.082265
101,D,1356613398.76023
1010,A,1435016074.21261
1010,B1,697792879.673747
1010,B2,800349351.142199
1010,B3,692151705.449773
1010,C1,626299188.231846
1010,C2,744520422.283875
1010,C3,652396798.625279
1010,D,1370109214.80939
102,A,1445899801.53441
102,B1,671793306.400159
102,B2,774954755.490682
102,B3,665732326.62097
102,C1,612463434.568649
102,C2,720571459.211037
102,C3,628513811.141247
102,D,1348637815.96569
103,A,1439001875.79297
103,B1,685812373.61347
103,B2,788092830.191763
103,B3,681656091.829761
103,C1,623999279.537579
103,C2,734230104.324664
103,C3,642356223.37131
103,D,1364276460.6934
104,A,1449070987.13044
104,B1,678706904.618445
104,B2,780833266.282278
104,B3,671817603.807911
104,C1,616731053.076405
104,C2,726829409.296308
104,C3,632905375.885342
104,D,1351521874.71604
105,A,1442239775.90021
105,B1,675488257.508976
105,B2,777608254.877053
105,B3,671118395.642306
105,C1,616411046.662894
105,C2,724952036.012401
105,C3,632315800.69876
105,D,1352573733.85241
106,A,1435390321.59063
106,B1,688248930.395077
106,B2,788981438.125994
106,B3,683267901.729303
106,C1,622425948.752716
106,C2,736714479.824899
106,C3,644160501.209606
106,D,1362563337.34586
107,A,1437028693.81968
107,B1,680410009.174531
107,B2,780025231.956524
107,B3,675074354.356596
107,C1,619537395.215393
107,C2,728486217.867611
107,C3,637193703.264721
107,D,1362053483.36112
108,A,1449988181.22834
108,B1,674566086.247873
108,B2,773526833.46925
108,B3,670040156.343022
108,C1,616494087.026395
108,C2,723714628.883947
108,C3,631692802.242608
108,D,1352253375.55126
109,A,1453746313.72966
109,B1,680210421.120171
109,B2,781718363.545497
109,B3,674525087.517585
109,C1,617854614.456147
109,C2,729022503.70522
109,C3,635553358.945004
109,D,1357613284.78195
11,A,1447412486.69078
11,B1,692826037.326222
11,B2,797429891.044409
11,B3,687701412.865116
11,C1,623658900.714804
11,C2,742205692.804077
11,C3,648329116.533153
11,D,1365742960.37481
110,A,1452149703.26503
110,B1,658417063.378882
110,B2,759020034.862844
110,B3,653795976.870793
110,C1,609903002.744984
110,C2,708074450.37395
110,C3,616094212.967186
110,D,1342848523.06325
111,A,1435989205.45213
111,B1,682057919.257502
111,B2,783058013.31817
111,B3,677608213.775259
111,C1,618519766.588695
111,C2,731238473.519776
111,C3,637801437.600493
111,D,1357130749.51334
112,A,1445531277.7589
112,B1,674199990.906415
112,B2,775343691.147144
112,B3,668990882.162399
112,C1,612841561.193162
112,C2,723137272.104378
112,C3,630482368.061569
112,D,1350632450.97622
113,A,1425524008.02936
113,B1,702231637.10715
113,B2,803147018.905897
113,B3,696483764.622546
113,C1,630576962.399418
113,C2,748747364.277878
113,C3,656163546.082578
113,D,1369333978.51924
114,A,1433124566.94251
114,B1,688119049.733367
114,B2,790242645.525496
114,B3,682856596.950972
114,C1,621023123.532691
114,C2,736728934.281498
114,C3,643982812.861842
114,D,1362084495.91243
115,A,1443565403.17937
115,B1,681580729.341951
115,B2,783017261.748818
115,B3,676011828.894654
115,C1,618516582.70213
115,C2,729817538.189543
115,C3,636519747.966667
115,D,1358920281.41641
116,A,1442186564.01405
116,B1,681588722.513551
116,B2,781594324.853409
116,B3,676497969.976234
116,C1,619498203.753978
116,C2,730186183.474988
116,C3,637815696.257458
116,D,1359999338.46225
117,A,1446530600.01201
117,B1,672691135.308265
117,B2,774168821.598588
117,B3,666877089.89988
117,C1,614522534.765386
117,C2,720452702.667854
117,C3,629506501.037296
117,D,1348330740.55894
118,A,1446293515.28854
118,B1,676656623.151294
118,B2,775659633.346449
118,B3,672437964.816433
118,C1,615637699.599785
118,C2,725318480.436163
118,C3,633250907.761638
118,D,1358376035.51632
119,A,1441561922.776
119,B1,674849279.874123
119,B2,778300488.117015
119,B3,669829015.354423
119,C1,614056156.399981
119,C2,724190181.800417
119,C3,631628645.524141
119,D,1355260014.22668
12,A,1439841640.16012
12,B1,676271159.057098
12,B2,778156765.242974
12,B3,672427610.108623
12,C1,617709715.33643
12,C2,726046779.225321
12,C3,632932151.81568
12,D,1354916372.08947
120,A,1433766631.66623
120,B1,690570263.3143
120,B2,793882911.706598
120,B3,685107681.62343
120,C1,622319978.57784
120,C2,738651240.368052
120,C3,646669239.460152
120,D,1361570095.42525
121,A,1444384204.09007
121,B1,669436435.039936
121,B2,768218575.186527
121,B3,665255374.536791
121,C1,613526035.395215
121,C2,718185787.083402
121,C3,627342284.519691
121,D,1351138999.33221
122,A,1441865095.68094
122,B1,669881343.238405
122,B2,770880162.416887
122,B3,664908911.849696
122,C1,615552275.31174
122,C2,719059679.307612
122,C3,626540650.444862
122,D,1352735302.05494
123,A,1449031895.30251
123,B1,663945451.666564
123,B2,764257956.500368
123,B3,658296645.026226
123,C1,611420986.58684
123,C2,712828902.486939
