"Year","Simulation","Pathway","RP_mean","RP_max","RP_min","Battery_Discharges_GWh","Shortages_TWh","CO2_tons"
2044,831,"B3",0.54672022171871,0.870812335584739,0.056744781583782,3639.18166925278,0.10224479,7245864.54167421
2045,831,"B3",0.557870515953096,0.875708988269534,0.0589813135491345,3805.1021267071,0.075898,7068194.02266778
2046,831,"B3",0.559671268810839,0.867918592340616,0.0793440761430269,4154.9812986308,0.05723204,5286927.15705995
2047,831,"B3",0.574586333351734,0.877397292375551,0.0831574115244371,4236.90408141604,0.04634758,4648594.29410125
2048,831,"B3",0.588240458556839,0.878305227689698,0.0721266639095087,4315.30828910906,0.03100843,4141541.90679777
2049,831,"B3",0.604038818238798,0.876102704641323,0.0711768935521246,4305.24270105571,0.03640904,3331700.83156454
2050,831,"B3",0.614135629094551,0.890239028045499,0.081043311847364,4300.44237412139,0.02187682,3080177.37235251
2025,831,"C1",0.146339789234126,0.484339645562316,0.0142455228675,47.4369873296975,0.02191723,35047195.3177569
2026,831,"C1",0.144979030953433,0.505519485594597,0.0129124601107306,51.7265324149824,0.023528,36069268.7881205
2027,831,"C1",0.142743709135516,0.490991047417261,0.0170790287465213,85.0354068427767,0.03365317,37171886.4563575
2028,831,"C1",0.140935567281019,0.4872867791952,0.0125068806133262,129.372169864147,0.05464088,38172098.2070519
2029,831,"C1",0.138618880840069,0.480600458327686,0.0144208032183652,202.75647821088,0.07799435,39062537.0645708
2030,831,"C1",0.136745689073879,0.473580969032175,0.0146244975376365,118.313804213627,0.2207814,38625175.6440405
2031,831,"C1",0.135151373205835,0.483612319559595,0.0101209790896204,405.803739527156,0.48330743,30040670.0355315
2032,831,"C1",0.130140821537753,0.45525231526361,0.0096391644859019,259.251151013116,0.25670622,25511616.6511695
2033,831,"C1",0.127117449541368,0.441136132775565,0.0141234651159555,167.306929132846,0.18179343,20460085.8931989
2034,831,"C1",0.123427982881798,0.41727842519205,0.0134766919102728,231.542436481786,0.12518796,15625871.9628426
2035,831,"C1",0.118633910510639,0.387751545307698,0.0118253641856655,413.461483113739,0.08409983,11484467.1392062
2036,831,"C1",0.113009782162849,0.362146434976081,0.00916435358027922,597.072809569068,0.06566403,8316271.41198136
2037,831,"C1",0.106826654542983,0.34311393198944,0.0105230111599075,605.397904978925,0.0537581,5853782.55616502
2038,831,"C1",0.100123841639479,0.329814346873041,0.0113566395584261,480.343064953158,0.04085004,4256929.38873179
2039,831,"C1",0.0950799207313758,0.313562508911465,0.00594015065963833,372.17652466836,0.03486087,3096957.4520205
