"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"27","C2","NB","Upper",891592938.836345
"28","B2","QC","Lower",2364640028.00872
"28","B2","QC","Upper",7041741038.86921
"28","B2","NYISO","Lower",2671316266.62269
"28","B2","NYISO","Upper",8026791666.53454
"28","B2","NB","Lower",293404188.516781
"28","B2","NB","Upper",873738197.265734
"29","C3","QC","Lower",9191678207.67216
"29","C3","QC","Upper",27372207559.8756
"29","C3","NYISO","Lower",2455673525.7883
"29","C3","NYISO","Upper",7378826700.08504
"29","C3","NB","Lower",262282326.681266
"29","C3","NB","Upper",781059358.585278
"30","D","QC","Lower",21465012986.2202
"30","D","QC","Upper",63921383827.8008
"30","D","NYISO","Lower",5975325553.62536
"30","D","NYISO","Upper",17954704187.5762
"30","D","NB","Lower",586775536.778512
"30","D","NB","Upper",1747378598.43186
"31","C1","QC","Lower",1737893723.92037
"31","C1","QC","Upper",5175332148.64371
"31","C1","NYISO","Lower",1545431888.73252
"31","C1","NYISO","Upper",4643725627.20108
"31","C1","NB","Lower",238952827.163728
"31","C1","NB","Upper",711585657.631621
"32","C2","QC","Lower",2432954164.9994
"32","C2","QC","Upper",7245176004.14267
"32","C2","NYISO","Lower",2738852355.24358
"32","C2","NYISO","Upper",8229724625.13094
"32","C2","NB","Lower",299561685.712548
"32","C2","NB","Upper",892074815.180753
"33","B3","QC","Lower",11995204391.2807
"33","B3","QC","Upper",35720922436.907
"33","B3","NYISO","Lower",2638411611.96829
"33","B3","NYISO","Upper",7927919507.11625
"33","B3","NB","Lower",278833658.967745
"33","B3","NB","Upper",830348127.458826
"34","B3","QC","Lower",12008476300.8193
"34","B3","QC","Upper",35760445302.5253
"34","B3","NYISO","Lower",2635918682.35393
"34","B3","NYISO","Upper",7920428733.03465
"34","B3","NB","Lower",278857539.621768
"34","B3","NB","Upper",830419242.461311
"35","A","QC","Lower",4376313438.28479
"35","A","QC","Upper",13032370920.0152
"35","A","NYISO","Lower",4087986590.45015
"35","A","NYISO","Upper",12283613553.0353
"35","A","NB","Lower",664832332.856022
"35","A","NB","Upper",1979826555.74929
"36","C2","QC","Lower",2429535272.40896
"36","C2","QC","Upper",7234994768.95403
"36","C2","NYISO","Lower",2739153626.07499
"36","C2","NYISO","Upper",8230629886.04263
"36","C2","NB","Lower",299310311.935855
"36","C2","NB","Upper",891326240.759922
"37","C1","QC","Lower",1738283156.69793
"37","C1","QC","Upper",5176491853.60477
"37","C1","NYISO","Lower",1545542527.65357
"37","C1","NYISO","Upper",4644058075.88213
"37","C1","NB","Lower",239046070.852554
"37","C1","NB","Upper",711863331.147439
"38","C3","QC","Lower",9198260004.27709
"38","C3","QC","Upper",27391807713.2661
"38","C3","NYISO","Lower",2457812825.91627
"38","C3","NYISO","Upper",7385254885.56572
"38","C3","NB","Lower",262382253.942827
"38","C3","NB","Upper",781356935.337049
"39","B1","QC","Lower",9394578680.44534
"39","B1","QC","Upper",27976431699.2834
"39","B1","NYISO","Lower",2550768509.65694
"39","B1","NYISO","Upper",7664568839.11341
"39","B1","NB","Lower",271733259.451215
"39","B1","NB","Upper",809203609.022326
"40","B1","QC","Lower",9386647875.55739
"40","B1","QC","Upper",27952814288.7731
"40","B1","NYISO","Lower",2549662613.966
"40","B1","NYISO","Upper",7661245835.23439
"40","B1","NB","Lower",271697199.913687
"40","B1","NB","Upper",809096226.113195
"41","B2","QC","Lower",2363681082.74261
"41","B2","QC","Upper",7038885363.52141
