County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Middlesex,MA,9,B2,12566.1300353109,46906.6859163884,4665474.02955433,0,1822944.46012985,100416.001228469,6648307.30686435,0.636296337571444
Middlesex,MA,10,C2,14125.2544881608,51163.0614809042,4796905.0208613,0,1874298.59820342,103244.818729313,6839736.7537631,0.654972595898407
Essex,MA,1,B3,27513.745064519,50360.3838701337,3016553.71362014,0,1129454.42479808,65486.3069301534,4289368.57428302,0.478897799513171
Essex,MA,2,C2,30756.7390315991,55532.1445382607,3322840.80124855,0,1244592.37713239,72162.0603915839,4725884.12234238,0.523356711134756
Essex,MA,3,B1,27363.6216653691,49038.0589621203,2935477.66138025,0,1099011.16796611,63721.1923606054,4174611.70233446,0.46646148234802
Essex,MA,4,B3,27841.2928084666,50155.973934217,3018180.67884856,0,1130060.15206909,65521.4272865966,4291759.52494693,0.47923860139395
Essex,MA,5,A,214326.618372991,167851.272159501,9828577.25743079,0,3597873.16399023,208606.404242427,14017234.7161959,1.86222201302051
Essex,MA,6,B2,30361.6586617445,54674.5592034836,3290310.21172731,0,1232412.53138407,71455.8671185095,4679214.82809511,0.523456875753951
Essex,MA,7,B1,27689.0251722367,49007.4404595729,2934928.35225645,0,1098788.14157544,63708.2611839658,4174121.22064766,0.466404784769891
Essex,MA,8,B1,27445.1669687029,49075.0565650266,2934172.77585217,0,1098501.54902169,63691.6444108349,4172886.19281842,0.466110090647015
Essex,MA,9,B2,30835.1397148214,54818.1093636289,3280047.97134202,0,1228598.29968849,71234.7161432819,4665534.23625224,0.521657517582642
Essex,MA,10,C2,30595.453931182,55573.4705125236,3332157.86796188,0,1248091.77812852,72364.9573325076,4738783.52786661,0.524715013782997
Bristol,MA,5,A,635592.698787897,6283903.97413856,11797050.8502656,21577.9683357687,4740355.04191255,263635.938380712,23742116.4718211,3.09780272981556
Bristol,MA,1,B3,122788.750588036,337328.871115502,3338983.66543616,0,1344497.06985701,70962.4248761681,5214560.78187287,0.562662374186805
Bristol,MA,2,C2,134081.129884381,356982.812099573,3702353.50664266,0,1492411.87925145,78769.3541622559,5764598.68204032,0.618979261195207
Bristol,MA,3,B1,114548.939796691,329942.362314847,3239912.90032242,0,1304544.95853393,68853.7563175154,5057802.9172854,0.546454334757346
Bristol,MA,4,B3,118675.145467692,336769.605263908,3336439.03877619,0,1343428.72946656,70906.0379740327,5206218.55694838,0.561762910492566
Bristol,MA,6,B2,130967.147323113,349534.421000309,3637052.01913918,0,1466206.67669694,77386.246114399,5661146.51027394,0.613897592015353
Bristol,MA,7,B1,115842.476254533,332431.23087967,3253695.11699193,0,1310154.36236337,69149.8201072928,5081273.00659679,0.548821926302176
Bristol,MA,8,B1,119283.943305538,330209.522530661,3250947.31376177,0,1309178.10274811,69098.2932195364,5078717.17556561,0.548470882234465
Bristol,MA,9,B2,130520.594374572,348853.510092874,3641608.23273319,0,1468178.23937469,77490.3050012089,5666650.88157654,0.614201917254208
Bristol,MA,10,C2,138620.946123797,359997.532637152,3709585.56727283,0,1495409.52253748,78927.5694839994,5782541.13805526,0.62070390701013
Coos,NH,5,A,315356.656603643,302052.729683415,264335.938190003,558.341076323196,18003312.3334232,191918.345242966,19077534.3442195,2.45012562464825
Rockingham,NH,1,B3,308891.531886777,11333652.4522663,2300881.92825577,34203.9993001329,1223091.9932897,56244.3794420808,15256966.2844408,1.50363313961681
Rockingham,NH,2,C2,339846.741782753,12203531.7429556,2739788.40781896,37439.8054455814,1441383.87971808,66433.6132467289,16828424.1909677,1.66034733442448
Rockingham,NH,3,B1,303256.452001473,11106468.7110909,2243666.77075355,33385.8795858572,1193568.27391186,54855.1413977445,14935201.2287414,1.4734961819082
Rockingham,NH,4,B3,314813.715630852,11304893.9020916,2308039.46245482,34240.0641104049,1226262.206291,56406.091626319,15244655.442205,1.5024089378909
Rockingham,NH,5,A,2441050.41438999,93142663.6362942,11846288.2044543,281069.513916149,39877695.8503206,934630.087620292,148523397.706996,19.3977344832788
Rockingham,NH,6,B2,333404.385830538,11820361.6645032,2702435.42519007,35834.083695115,1416630.04080547,65347.599784668,16374013.199809,1.62342846934554
Rockingham,NH,7,B1,306595.959318942,11008037.4636018,2233812.52009125,33528.3411491353,1189264.28209692,54659.5730751593,14825898.1393333,1.46243079093807
