"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"C2","CAPEX","Hydropower","Conservative",0
"C2","FOM","Hydropower","Advanced",1413323574.64976
"C2","FOM","Hydropower","Moderate",2493819517.41095
"C2","FOM","Hydropower","Conservative",2493819517.41095
"C2","CAPEX","Biomass","Advanced",0
"C2","CAPEX","Biomass","Moderate",0
"C2","CAPEX","Biomass","Conservative",0
"C2","FOM","Biomass","Advanced",1170332659.5354
"C2","FOM","Biomass","Moderate",1170332659.5354
"C2","FOM","Biomass","Conservative",1170332659.5354
"C3","CAPEX","Solar","Advanced",35192652982.8662
"C3","CAPEX","Solar","Moderate",41763720995.2827
"C3","CAPEX","Solar","Conservative",51360653711.7598
"C3","FOM","Solar","Advanced",8556259793.30006
"C3","FOM","Solar","Moderate",9659502478.80149
"C3","FOM","Solar","Conservative",11213792104.33
"C3","CAPEX","Onshore Wind","Advanced",9857974128.54614
"C3","CAPEX","Onshore Wind","Moderate",10465146541.7489
"C3","CAPEX","Onshore Wind","Conservative",11936220782.8229
"C3","FOM","Onshore Wind","Advanced",3189776176.61431
"C3","FOM","Onshore Wind","Moderate",3998008589.59413
"C3","FOM","Onshore Wind","Conservative",4329303679.17293
"C3","CAPEX","Offshore Wind","Advanced",57110575982.2731
"C3","CAPEX","Offshore Wind","Moderate",70730976439.9616
"C3","CAPEX","Offshore Wind","Conservative",91478059397.1605
"C3","FOM","Offshore Wind","Advanced",12898601393.3632
"C3","FOM","Offshore Wind","Moderate",14070206641.5995
"C3","FOM","Offshore Wind","Conservative",16101686385.4065
"C3","CAPEX","Storage","Advanced",18942077781.7753
"C3","CAPEX","Storage","Moderate",24382379917.5716
"C3","CAPEX","Storage","Conservative",33662865638.5505
"C3","FOM","Storage","Advanced",7849863301.11031
"C3","FOM","Storage","Moderate",10330202729.0191
"C3","FOM","Storage","Conservative",14692266644.4315
"C3","CAPEX","Nuclear","Advanced",0
"C3","CAPEX","Nuclear","Moderate",0
"C3","CAPEX","Nuclear","Conservative",0
"C3","FOM","Nuclear","Advanced",5612720781.22543
"C3","FOM","Nuclear","Moderate",7795445529.47976
"C3","FOM","Nuclear","Conservative",9087262217.22212
"C3","CAPEX","SMR","Advanced",7123922735.94313
"C3","CAPEX","SMR","Moderate",12970557822.1969
"C3","CAPEX","SMR","Conservative",18931780085.6028
