"Simulation","Pathway","NPV","Technology"
"71","A",66511196.2473989,"Coal"
"71","A",2853177252.08759,"Gas"
"71","A",523964678.572806,"Gas"
"71","A",120597537.30598,"Wood"
"72","B1",11235866.7881638,"Coal"
"72","B1",609312484.352868,"Gas"
"72","B1",82173275.5228005,"Gas"
"72","B1",25227637.2727594,"Wood"
"73","D",34559442.4904286,"Coal"
"73","D",11255360343.6125,"Gas"
"73","D",254775867.344771,"Gas"
"73","D",62647771.53376,"Wood"
"74","C2",12742097.7737054,"Coal"
"74","C2",730188846.314129,"Gas"
"74","C2",90637783.0440172,"Gas"
"74","C2",28483403.7080394,"Wood"
"75","B3",11430632.7178121,"Coal"
"75","B3",627999932.565614,"Gas"
"75","B3",83726144.5884875,"Gas"
"75","B3",26084908.1659271,"Wood"
"76","C1",15463238.5001451,"Coal"
"76","C1",690711279.816905,"Gas"
"76","C1",92538798.6761161,"Gas"
"76","C1",25578746.5903577,"Wood"
"77","C3",11358263.7463994,"Coal"
"77","C3",580453554.962905,"Gas"
"77","C3",81828192.8648615,"Gas"
"77","C3",24752248.0535619,"Wood"
"78","C1",15434697.6345216,"Coal"
"78","C1",690688340.556211,"Gas"
"78","C1",92375221.3619405,"Gas"
"78","C1",25539442.0498911,"Wood"
"79","A",66479727.7172546,"Coal"
"79","A",2852718897.8317,"Gas"
"79","A",524553914.786755,"Gas"
"79","A",120608649.506379,"Wood"
"80","C3",11430632.7178121,"Coal"
"80","C3",581302260.97831,"Gas"
"80","C3",81190302.8720395,"Gas"
"80","C3",24813733.594427,"Wood"
"81","B2",12172310.0160064,"Coal"
"81","B2",723007081.344383,"Gas"
"81","B2",88108985.5914325,"Gas"
"81","B2",27751045.7412804,"Wood"
"82","B2",12129322.8782312,"Coal"
"82","B2",722433469.792539,"Gas"
"82","B2",88021007.69875,"Gas"
"82","B2",27771267.8708309,"Wood"
"83","B2",12107849.9361543,"Coal"
"83","B2",722754447.573703,"Gas"
"83","B2",88487376.1533221,"Gas"
"83","B2",27808079.6345956,"Wood"
"84","B3",11553418.0740746,"Coal"
"84","B3",627486589.46978,"Gas"
"84","B3",83853305.4880686,"Gas"
"84","B3",26059907.6066531,"Wood"
"85","B1",11157165.7888516,"Coal"
"85","B1",609748858.409017,"Gas"
"85","B1",82204420.7928141,"Gas"
"85","B1",25461198.4320318,"Wood"
"86","B3",11358263.7463994,"Coal"
"86","B3",627174464.667849,"Gas"
"86","B3",84352441.2426696,"Gas"
"86","B3",26058528.4357976,"Wood"
"87","D",34596693.5016857,"Coal"
"87","D",11253716917.7152,"Gas"
"87","D",254779002.094014,"Gas"
"87","D",62684452.4167727,"Wood"
"88","B1",11103675.935679,"Coal"
"88","B1",609156228.029746,"Gas"
"88","B1",82270476.8421846,"Gas"
"88","B1",25403277.1244318,"Wood"
"89","B1",11227672.5807775,"Coal"
"89","B1",609500469.371608,"Gas"
"89","B1",82048232.5909184,"Gas"
"89","B1",25360488.5346173,"Wood"
"90","C3",11553418.0740746,"Coal"
"90","C3",580494178.347262,"Gas"
"90","C3",81354353.5746016,"Gas"
"90","C3",24834480.9451764,"Wood"
