Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD,County
2035,26,D,51188.4293596116,101501.424431305,2657816.05264279,0,1447249.07219915,58966.9973170867,4316721.97594994,
2035,30,D,51226.3586513889,101576.634340873,2659785.42505394,0,1448321.44603481,59010.6903249489,4319920.55440595,
2035,55,D,50836.6924167825,100803.96601797,2639553.09547347,0,1437304.42317326,58561.8106054879,4287059.98768698,
2035,57,D,51041.0350210529,101209.156520295,2650163.01378242,0,1443081.79607063,58797.2050090381,4304292.20640343,
2035,70,D,50800.370602672,100731.943572346,2637667.18684507,0,1436277.49750999,58519.9693467894,4283996.96787687,
2035,73,D,50941.2182268705,101011.230017794,2644980.30586932,0,1440259.67856131,58682.2201050591,4295874.65278035,
2035,87,D,50923.9346563017,100976.958463579,2644082.90479882,0,1439771.02064031,58662.3101318071,4294417.12869082,
2036,94,D,12365.8880103871,108193.604704485,3584434.43622759,0,1543276.01761065,83608.5396188669,5331878.48617198,
2036,17,D,12265.6855503343,107316.897318468,3555389.28006038,0,1530770.643684,82931.0483344406,5288673.55494762,
2036,21,D,12284.0322253123,107477.418980846,3560707.33352538,0,1533060.32829643,83055.094314841,5296584.2073428,
2036,23,D,12257.2064271751,107242.710418299,3552931.48155733,0,1529712.44006684,82873.7190828741,5285017.55755251,
2036,25,D,12232.4034527902,107025.700268778,3545741.9747923,0,1526617.0023998,82706.0206155431,5274323.10152922,
2036,26,D,12273.0187359519,107381.057998661,3557514.91172006,0,1531685.83307329,82980.6296455218,5291835.45117348,
2036,30,D,12226.8993239408,106977.54266453,3544146.52212665,0,1525930.08124671,82668.8059671015,5271949.85132893,
2036,55,D,12336.7454895187,107938.62630097,3575987.04811672,0,1539638.99991236,83411.5005054144,5319312.92032498,
2036,57,D,12305.8227656743,107668.072260922,3567023.64200173,0,1535779.81098326,83202.4250407577,5305979.77305234,
