Year,Simulation,Pathway,Fossil_new.gen_hr_TWh,Facility_Unit.ID,PM_lbs_mmBTU,CO,NH3,PM2.5,NOx,SO2,VOC,PM10,index,Facility_ID,Unit_ID,Similar_Facility_Unit_ID,CF,Estimated_NameplateCapacity_MW,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Ramp,Retirement_year,Commercial_Operation_Date,Latitude,Longitude,State,County,total_HI_mmBtu,PM.total_tons,PM2.5_tons,PM10_tons,total_NOx_tons,total_SO2_tons,CO_tons,VOC_tons,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD
2035,26,D,19.6828250021861,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80658006.641928,397.322872935625,397.322872935625,0,344.14822092829,34.9834630880181,1097.57699705974,76.8303897941816,51188.4293596116,101501.424431305,2657816.05264279,0,1447249.07219915,58966.9973170867
2035,30,D,19.6974094624215,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80717772.1222594,397.617278827071,397.617278827071,0,344.403225788753,35.0093849222186,1098.39027300296,76.8873191102071,51226.3586513889,101576.634340873,2659785.42505394,0,1448321.44603481,59010.6903249489
2035,55,D,19.5475761426465,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80103772.0028532,394.59270257504,394.59270257504,0,341.783435670687,34.7430771939772,1090.0350899863,76.302456299041,50836.6924167825,100803.96601797,2639553.09547347,0,1437304.42317326,58561.8106054879
2035,57,D,19.6261493626234,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80425756.2352015,396.178803020152,396.178803020152,0,343.157264573025,34.8827300812261,1094.4165829286,76.6091608050018,51041.0350210529,101209.156520295,2650163.01378242,0,1443081.79607063,58797.2050090381
2035,70,D,19.5336097850176,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80046539.4375954,394.310773871364,394.310773871364,0,341.539238146689,34.7182539505388,1089.25628141261,76.2479396988825,50800.370602672,100731.943572346,2637667.18684507,0,1436277.49750999,58519.9693467894
2035,73,D,19.5877681011401,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80268474.1355384,395.404028409407,395.404028409407,0,342.486179865673,34.8145127676939,1092.27632157295,76.4593425101063,50941.2182268705,101011.230017794,2644980.30586932,0,1440259.67856131,58682.2201050591
2035,87,D,19.581122273183,55149_LRG2,0.01086,1318.58546241051,9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,3,NGCC3002,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2035-01-01,41.8736,-71.8947,CT,Windham,80241240.2788412,395.269873913969,395.269873913969,0,342.36997958102,34.8027007398473,1091.90572904411,76.433401033088,50923.9346563017,100976.958463579,2644082.90479882,0,1439771.02064031,58662.3101318071
2036,94,D,25.4726520876669,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,104384067.888952,514.197901349901,514.197901349901,0,445.381590159045,45.2740693454242,1420.43619157431,99.4305334102019,12365.8880103871,108193.604704485,3584434.43622759,0,1543276.01761065,83608.5396188669
2036,17,D,25.2662437487665,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103538229.694073,510.031286333984,510.031286333984,0,441.77260300352,44.9072074491171,1408.9262053425,98.6248343739749,12265.6855503343,107316.897318468,3555389.28006038,0,1530770.643684,82931.0483344406
2036,21,D,25.3040363010108,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103693099.329381,510.794177099492,510.794177099492,0,442.433394308516,44.9743784144787,1411.03363839639,98.7723546877471,12284.0322253123,107477.418980846,3560707.33352538,0,1533060.32829643,83055.094314841
2036,23,D,25.2487774936895,568_BHB5,0.01086,1086.48035495364,12349.3436931533,6970.92389295547,27.7647039833219,2389.74773570735,840.873892066321,1003.49572968292,4,NGCC3003,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2036-01-01,41.1706,-73.1843,CT,Fairfield,103466654.942082,509.67870774601,509.67870774601,0,441.467210834948,44.8761636284408,1407.95223134257,98.5566561939798,12257.2064271751,107242.710418299,3552931.48155733,0,1529712.44006684,82873.7190828741
