Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD
2029,43,C1,1331190.04100841,7472130.01977335,18287070.3191998,62097.4721283555,8483636.06921534,430556.272191797,36066680.1935171
2025,44,A,1540595.92904726,10860313.9071196,14050802.7853165,68401.7588089867,9062830.94579851,379847.89989829,35962793.2259891
2026,44,A,1565374.11877713,11630884.7462481,14926898.5181514,70779.5400198833,9507612.5248813,401350.86746453,38102900.3155423
2027,44,A,1685044.38370843,12470840.6395536,15829743.4314713,74333.3136169433,9947440.70469356,423775.013171785,40431177.4862157
2028,44,A,1761205.76242644,13343914.6935013,16831859.2648726,77122.0682235151,10418873.8663079,448029.887062345,42881005.5423941
2029,44,A,1839221.74579702,14138642.9413961,17934485.5738418,80065.2777713779,10929982.0577551,474221.997816555,45396619.594378
2030,44,A,1887516.46348112,15040926.2575269,18946533.1676184,82868.4660248189,11385898.7090252,498212.857901867,47841955.9215783
2031,44,A,1885946.64322844,15251086.2260251,20021411.0215817,85386.4825315744,11891783.5494663,523957.017743292,49659570.9405764
2032,44,A,1888610.15275664,15462070.773667,21041621.1262038,87433.4266608574,12366935.6028804,548176.241007757,51394847.3231764
2033,44,A,1916397.92422311,15574045.7970348,21936733.9308592,89753.5697173305,12773923.028118,569463.391731987,52860317.6416844
2034,44,A,1967678.84495249,15870349.819069,22992878.6516857,91809.5272000985,13257529.1729665,594151.186059436,54774397.2019332
2035,44,A,1990641.38627592,16425786.12259,23894373.8254605,94370.9959406603,13664027.5310934,615523.935391855,56684723.7967524
2036,44,A,2027960.90342543,16614919.6294831,24683378.9732641,96177.2747123394,14028904.7864888,634263.190465356,58085604.7578391
2037,44,A,2070841.46312501,16788643.8709374,25442557.4349803,98179.4457107905,14361136.1606829,652090.268988318,59413448.6444247
2038,44,A,2135270.7652544,17196067.6703031,26152379.6138309,99770.3044249843,14675957.088001,668449.077392575,60927894.5192069
2039,44,A,2167717.97697046,17881041.2009098,26735913.0738676,101287.568805979,14932341.6966071,682151.613834884,62500453.1309958
2040,44,A,2175652.80648293,17550857.5100953,27338220.4929908,102317.262283298,15204994.2924432,696121.03096851,63068163.3952641
2041,44,A,2199944.82516654,17796622.2091033,27774222.5289493,103805.760118401,15391133.3842486,706336.304680379,63972065.0122664
2042,44,A,2242918.88695583,18010832.7703016,28187961.5472583,104723.620357244,15580797.0366957,715982.071676771,64843215.9332455
2043,44,A,2280141.75887745,18076348.4351441,28504965.4382549,105371.962575467,15718205.6775624,723223.098147652,65408256.370562
2044,44,A,2266972.63556597,18104349.4132326,28827175.9961313,105933.624762793,15865773.1267579,730723.154155024,65900927.9506055
2045,44,A,2289066.62677201,18260415.8998076,29013465.8665341,106798.599516015,15940905.6140543,735186.474729455,66345839.0814135
2046,44,A,2330058.40613869,18492545.1801353,29168876.9079351,107268.734373833,16005554.4196931,738758.500827539,66843062.1491035
2047,44,A,2329850.25333586,18489837.1407175,29281409.2342775,107191.976298242,16062904.667917,741309.700707734,67012502.9732538
2048,44,A,2303515.14711513,18249526.7805809,29449282.7813057,107480.184419111,16140064.8366863,745225.015417738,66995094.7455248
2049,44,A,2319940.02786116,18489253.8239395,29383242.6668543,107573.071191734,16101816.963368,743697.727608324,67145524.2808231
2050,44,A,2302007.81831687,18283035.9586465,29364258.5883236,107257.661251437,16092963.6414339,743080.507425854,66892604.1753982
2025,45,A,1517043.43068568,10794682.6588539,14032005.7227644,68164.6897605018,9053456.20999745,379276.303056036,35844629.015118
2026,45,A,1564063.22664736,11465951.6386443,14896977.7301868,70805.8659903834,9483343.95090302,400497.873509753,37881640.2858816
2027,45,A,1683565.75825142,12672193.8602243,15842549.4499588,74411.1039360758,9951966.92496449,424074.619702992,40648761.7170381
2028,45,A,1728678.31570049,13165331.1283117,16837264.9557949,77192.7332203401,10418759.0038822,448072.666937388,42675298.8038471
2029,45,A,1820905.53813932,14103068.0774544,17941215.4312499,80344.933847474,10931702.9493893,474416.667646973,45351653.5977274
2030,45,A,1894491.39867028,14972283.2749839,18948297.2070059,82999.2882095776,11387157.5601865,498333.693213501,47783562.4222697
2031,45,A,1876872.89170979,15445225.2658389,20000741.8921286,85661.0636912568,11885863.4210235,523762.958072369,49818127.4924644
2032,45,A,1880988.34419552,15517744.8862866,21052886.7010046,87353.0695625402,12371239.2725691,548398.161747533,51458610.4353659
2033,45,A,1902113.45512611,15633537.9586517,21985541.9840932,89790.5854852267,12794632.956758,570558.34500657,52976175.2851208
2034,45,A,1968356.89850504,16001334.3002107,23017268.6857192,91790.5784779516,13268537.9024291,594674.81435026,54941963.1796923
2035,45,A,2023988.43502176,16555250.7735725,23871573.5185975,94474.0292406659,13652892.243253,615104.351066581,56813283.350752
2036,45,A,2013320.47847517,16661652.4268383,24696820.7508356,96248.5581839949,14036105.917446,634610.628744565,58138758.7605237
2037,45,A,2065900.35066834,16696312.1969924,25439961.0994998,98134.9575962252,14359211.8817743,651956.385675317,59311476.8722064
2038,45,A,2124124.20406828,17103637.7547968,26124076.0288642,99591.9158512425,14661590.1302012,667697.757596906,60780717.7913786
2039,45,A,2166593.33632248,17483364.5863561,26746138.0928182,101267.162092449,14935718.0202978,682343.271186743,62115424.4690738
2040,45,A,2206921.31618273,17714026.7946174,27353364.3373168,102093.051285529,15214974.9400044,696350.727961777,63287731.1673686
2041,45,A,2211111.10145375,17720488.5569637,27755037.5439011,103754.772935365,15384227.6734362,705917.276079794,63880536.9247699
2042,45,A,2245826.98692952,18036389.2840189,28158075.0672081,104699.304963596,15568562.7441649,715362.999728334,64828916.3870133
2043,45,A,2281932.30974046,18168376.9467072,28507341.9430402,105109.33448644,15718628.8266378,723173.426260719,65504562.7868728
2044,45,A,2284839.80698744,18099062.7362491,28836972.3010906,106072.747648845,15873113.089404,731060.655121917,65931121.3365019
2045,45,A,2278888.7195027,18067545.1124014,29038207.7065094,106628.20047105,15951816.5661957,735608.104714137,66178694.4097944
2046,45,A,2302837.09858089,18526649.0741437,29167488.8995447,107047.530771985,16005885.2211166,738580.870376255,66848488.6945341
2047,45,A,2338448.68752929,18431683.8975299,29283233.1509814,107385.957631653,16062268.8098001,741471.105978896,66964491.6094512
2048,45,A,2332492.05388381,18373535.7930777,29445527.9882812,107615.223298901,16140734.4821663,745234.062650449,67145139.6033583
