DayLabel,Percentile,imports_QC,imports_NYISO,imports_NBSO
2,11,0.810269342155797,0.112684824902724,0
2,12,0.820964633913487,0.154941634241245,0
2,13,0.831659925671177,0.197198443579767,0
2,14,0.842355217428868,0.239455252918288,0
2,15,0.853050509186558,0.281712062256809,0
2,16,0.863745800944248,0.323968871595331,0
2,17,0.871382786454111,0.367772784567326,0.01044
2,18,0.87290315946832,0.41467090480627,0.04176
2,19,0.87442353248253,0.461569025045213,0.0730800000000001
2,20,0.87594390549674,0.508467145284157,0.1044
2,21,0.877464278510949,0.5553652655231,0.13572
2,22,0.878984651525158,0.602263385762043,0.16704
2,23,0.880505024539368,0.649161506000987,0.19836
2,24,0.882025397553577,0.69605962623993,0.22968
2,25,0.883545770567787,0.742957746478873,0.261
2,26,0.888410893760143,0.7491995176084,0.263642264150943
