"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1003","C3","NYISO","Lower",7481795031.11086
"1003","C3","NYISO","Upper",22481355261.7514
"1003","C3","NB","Lower",821853392.628025
"1003","C3","NB","Upper",2447467588.26546
"1003","D","QC","Lower",26606612848.2201
"1003","D","QC","Upper",79234110564.8015
"1003","D","NYISO","Lower",7481795031.11086
"1003","D","NYISO","Upper",22481355261.7514
"1003","D","NB","Lower",821853392.628025
"1003","D","NB","Upper",2447467588.26546
"1004","A","QC","Lower",4991510228.5497
"1004","A","QC","Upper",14864645702.5702
"1004","A","NYISO","Lower",4359798044.52198
"1004","A","NYISO","Upper",13100354701.0877
"1004","A","NB","Lower",805178028.624843
"1004","A","NB","Upper",2397808593.98935
"1004","B1","QC","Lower",26477071679.2662
"1004","B1","QC","Upper",78848338825.943
"1004","B1","NYISO","Lower",7104139037.45018
"1004","B1","NYISO","Upper",21346571626.9537
"1004","B1","NB","Lower",805178028.624843
"1004","B1","NB","Upper",2397808593.98935
"1004","B2","QC","Lower",4991510228.5497
"1004","B2","QC","Upper",14864645702.5702
"1004","B2","NYISO","Lower",7104139037.45018
"1004","B2","NYISO","Upper",21346571626.9537
"1004","B2","NB","Lower",805178028.624843
"1004","B2","NB","Upper",2397808593.98935
"1004","B3","QC","Lower",35695563932.6488
"1004","B3","QC","Upper",106300876231.288
"1004","B3","NYISO","Lower",7104139037.45018
"1004","B3","NYISO","Upper",21346571626.9537
"1004","B3","NB","Lower",805178028.624843
"1004","B3","NB","Upper",2397808593.98935
"1004","C1","QC","Lower",4991510228.5497
"1004","C1","QC","Upper",14864645702.5702
"1004","C1","NYISO","Lower",4359798044.52198
"1004","C1","NYISO","Upper",13100354701.0877
"1004","C1","NB","Lower",805178028.624843
"1004","C1","NB","Upper",2397808593.98935
"1004","C2","QC","Lower",4991510228.5497
"1004","C2","QC","Upper",14864645702.5702
"1004","C2","NYISO","Lower",7104139037.45018
"1004","C2","NYISO","Upper",21346571626.9537
"1004","C2","NB","Lower",805178028.624843
"1004","C2","NB","Upper",2397808593.98935
"1004","C3","QC","Lower",26477071679.2662
"1004","C3","QC","Upper",78848338825.943
"1004","C3","NYISO","Lower",7104139037.45018
"1004","C3","NYISO","Upper",21346571626.9537
"1004","C3","NB","Lower",805178028.624843
"1004","C3","NB","Upper",2397808593.98935
"1004","D","QC","Lower",26477071679.2662
"1004","D","QC","Upper",78848338825.943
"1004","D","NYISO","Lower",7104139037.45018
"1004","D","NYISO","Upper",21346571626.9537
"1004","D","NB","Lower",805178028.624843
"1004","D","NB","Upper",2397808593.98935
"1005","A","QC","Lower",4982946267.66267
"1005","A","QC","Upper",14839142350.1643
"1005","A","NYISO","Lower",4620839113.32625
"1005","A","NYISO","Upper",13884732912.639
"1005","A","NB","Lower",762517693.146481
"1005","A","NB","Upper",2270766728.22062
"1005","B1","QC","Lower",26458394604.2621
"1005","B1","QC","Upper",78792718765.0831
"1005","B1","NYISO","Lower",7529354517.83308
"1005","B1","NYISO","Upper",22624262373.2965
"1005","B1","NB","Lower",762517693.146481
"1005","B1","NB","Upper",2270766728.22062
"1005","B2","QC","Lower",4982946267.66267
"1005","B2","QC","Upper",14839142350.1643
"1005","B2","NYISO","Lower",7529354517.83308
"1005","B2","NYISO","Upper",22624262373.2965
"1005","B2","NB","Lower",762517693.146481
"1005","B2","NB","Upper",2270766728.22062
"1005","B3","QC","Lower",35674422948.3155
"1005","B3","QC","Upper",106237918683.866
"1005","B3","NYISO","Lower",7529354517.83308
"1005","B3","NYISO","Upper",22624262373.2965
"1005","B3","NB","Lower",762517693.146481
"1005","B3","NB","Upper",2270766728.22062
"1005","C1","QC","Lower",4982946267.66267
"1005","C1","QC","Upper",14839142350.1643
"1005","C1","NYISO","Lower",4620839113.32625
"1005","C1","NYISO","Upper",13884732912.639
"1005","C1","NB","Lower",762517693.146481
"1005","C1","NB","Upper",2270766728.22062
"1005","C2","QC","Lower",4982946267.66267
"1005","C2","QC","Upper",14839142350.1643
"1005","C2","NYISO","Lower",7529354517.83308
"1005","C2","NYISO","Upper",22624262373.2965
"1005","C2","NB","Lower",762517693.146481
"1005","C2","NB","Upper",2270766728.22062
"1005","C3","QC","Lower",26458394604.2621
"1005","C3","QC","Upper",78792718765.0831
"1005","C3","NYISO","Lower",7529354517.83308
"1005","C3","NYISO","Upper",22624262373.2965
"1005","C3","NB","Lower",762517693.146481
"1005","C3","NB","Upper",2270766728.22062
"1005","D","QC","Lower",26458394604.2621
"1005","D","QC","Upper",78792718765.0831
"1005","D","NYISO","Lower",7529354517.83308
"1005","D","NYISO","Upper",22624262373.2965
"1005","D","NB","Lower",762517693.146481
"1005","D","NB","Upper",2270766728.22062
"1006","A","QC","Lower",4939586598.70763
"1006","A","QC","Upper",14710017879.3557
"1006","A","NYISO","Lower",4691253502.57864
"1006","A","NYISO","Upper",14096314611.1137
"1006","A","NB","Lower",754893208.439582
