Simulation,Pathway,NPV
128,C1,598483392.236318
128,C2,695967241.571734
128,C3,608496512.073309
128,D,1273333108.48543
129,A,1353083813.58151
129,B1,662117921.976288
129,B2,758636107.206016
129,B3,656817380.815596
129,C1,603028622.171699
129,C2,708831335.188194
129,C3,620868207.584841
129,D,1279796356.11185
13,A,1352280045.04901
13,B1,649159563.928506
13,B2,744263486.076151
13,B3,645132146.070537
13,C1,598622114.857591
13,C2,697248055.563361
13,C3,608390247.280293
13,D,1277537215.93688
130,A,1359012183.31948
130,B1,638846033.876677
130,B2,733606694.955276
130,B3,634887613.199547
130,C1,594774618.762761
130,C2,687443056.595402
130,C3,599597050.929705
130,D,1269578818.18045
131,A,1352127195.05495
131,B1,655263396.291218
131,B2,748812356.188982
131,B3,651368421.662288
131,C1,602013103.015104
131,C2,701887558.609802
131,C3,615348456.82299
131,D,1281449583.30058
132,A,1358585308.11258
132,B1,647312704.034774
132,B2,744380111.881227
132,B3,642996568.102902
132,C1,593967833.50832
132,C2,695362295.875557
132,C3,606459978.969374
132,D,1270213480.97441
133,A,1354130812.95085
133,B1,652895646.744659
133,B2,749058513.35832
133,B3,646942873.070918
133,C1,596102899.453407
133,C2,698887038.13746
133,C3,611016447.394494
133,D,1269970968.02233
134,A,1345457716.63218
134,B1,651270644.37418
134,B2,743934697.202398
134,B3,648246884.11946
134,C1,597434134.589917
134,C2,697991749.710779
134,C3,611664366.418426
134,D,1273205112.17885
135,A,1354436272.99113
135,B1,650266917.206026
135,B2,744184837.772493
135,B3,647376575.822466
135,C1,599276848.798914
135,C2,696972732.831017
135,C3,610259247.460481
135,D,1275211270.40043
136,A,1347281511.07959
136,B1,660066594.325798
136,B2,755357444.726995
136,B3,655991899.362842
136,C1,601675754.445878
136,C2,707985218.942355
136,C3,619812649.895068
136,D,1281320229.76787
137,A,1350579658.89037
137,B1,644121739.784217
137,B2,737869471.329696
137,B3,639326722.301655
137,C1,596101808.502547
137,C2,693173150.708448
137,C3,603350113.02255
137,D,1267598378.26876
138,A,1352338925.55492
138,B1,644591404.424815
138,B2,741288898.841539
138,B3,640304384.29047
138,C1,594521469.453237
138,C2,693199165.423432
138,C3,603838585.95682
138,D,1266486455.36293
139,A,1354796153.34335
139,B1,646980756.408382
139,B2,743142481.478563
139,B3,642155927.855146
139,C1,594990025.008966
139,C2,693992254.009288
139,C3,606089676.971612
139,D,1268296307.02895
14,A,1352837152.61568
14,B1,646453062.039602
14,B2,738667296.784983
14,B3,642803275.304074
14,C1,599777730.288868
14,C2,694441516.22907
14,C3,606291290.534999
14,D,1274137882.72939
140,A,1349098893.98505
