"Pathway","Simulation","sum_NPV"
"D",118,65.8629922625649
"A",119,47.2141098241975
"B1",119,17.637309717084
"B2",119,21.2088757469146
"B3",119,17.6022279971926
"C1",119,17.4218632860682
"C2",119,19.6395956143057
"C3",119,16.1921487323461
"D",119,65.9182549972499
"A",12,47.2224163647564
"B1",12,17.7333069200171
"B2",12,21.278340655468
"B3",12,17.697645487809
"C1",12,17.5012231842711
"C2",12,19.7343678540215
"C3",12,16.2910069998216
"D",12,66.0289969901884
"A",120,47.2838018636434
"B1",120,18.1700701925924
"B2",120,21.7387113345598
"B3",120,18.1080460170129
"C1",120,17.6492951886385
"C2",120,20.1295452747524
"C3",120,16.6913667741289
"D",120,66.2941586806894
"A",121,47.0653979356898
"B1",121,17.472869182558
"B2",121,20.94415524933
"B3",121,17.445182329521
"C1",121,17.3407980609424
"C2",121,19.4500870031444
"C3",121,16.0497254543505
"D",121,65.7470960872465
"A",122,47.1554296814155
"B1",122,17.4678010505116
"B2",122,20.9860974478121
"B3",122,17.425320725789
"C1",122,17.3533800148039
"C2",122,19.4601677554168
"C3",122,16.0215869065937
"D",122,65.7308292822291
"A",123,47.055433435474
"B1",123,17.2210189286301
"B2",123,20.7446743535678
"B3",123,17.1774916446949
"C1",123,17.1911447603501
"C2",123,19.2215171713757
"C3",123,15.8063731475734
"D",123,65.4359762770478
"A",124,47.1285586787972
"B1",124,17.5478073548016
"B2",124,21.0806633292681
"B3",124,17.5088101740067
"C1",124,17.3588948935497
"C2",124,19.5417443400725
"C3",124,16.1024778337163
"D",124,65.7024560012609
"A",125,47.2141951434209
"B1",125,17.7057683456087
"B2",125,21.2543530037714
"B3",125,17.6517250707193
"C1",125,17.447694872198
"C2",125,19.6931991129465
"C3",125,16.2614028036945
"D",125,65.8925774519975
"A",126,47.4277027896197
"B1",126,17.3249502391543
"B2",126,20.9416075930864
"B3",126,17.2906930992453
"C1",126,17.310838726912
"C2",126,19.3636458571673
"C3",126,15.8944042968728
"D",126,65.6247620863787
"A",127,47.2170415616162
"B1",127,18.4414667391498
"B2",127,22.0425069469395
"B3",127,18.3650807953708
"C1",127,17.7338918951701
"C2",127,20.3821388806249
"C3",127,16.9121988916219
"D",127,66.4552030014513
"A",128,47.262326023943
"B1",128,17.6942869052631
"B2",128,21.2186490120666
"B3",128,17.6634573168
"C1",128,17.4943622109518
"C2",128,19.6822422912947
"C3",128,16.2510408391822
"D",128,65.9849153532029
"A",129,47.5340262792005
"B1",129,18.2217500721789
"B2",129,21.8653628812817
"B3",129,18.1477113378392
"C1",129,17.7088660444148
"C2",129,20.2093172393678
"C3",129,16.7145223478902
"D",129,66.4310075500337
"A",13,47.1397454646717
"B1",13,17.7268459324852
"B2",13,21.2316491692081
"B3",13,17.6813596849691
"C1",13,17.4985706561135
"C2",13,19.6808531909515
"C3",13,16.2715984660416
"D",13,65.9676617879663
"A",130,47.1680213957561
"B1",130,17.3438954974182
"B2",130,20.885821302867
"B3",130,17.3242081023022
"C1",130,17.3107377082314
"C2",130,19.3585639957224
"C3",130,15.9285914841691
"D",130,65.6500352258123
"A",131,47.2704059988005
"B1",131,17.9484791232279
"B2",131,21.4261803773468
"B3",131,17.9099107428167
"C1",131,17.6234816838863
"C2",131,19.8874942603148
"C3",131,16.4916053967893
"D",131,66.2213032323376
"A",132,47.2367607555327
"B1",132,17.6451706952514
"B2",132,21.2825308167269
"B3",132,17.5743360287793
"C1",132,17.3374677151243
"C2",132,19.6396583196937
"C3",132,16.1657463358752
"D",132,65.7755551681889
"A",133,47.0787283730791
"B1",133,17.8044501472646
"B2",133,21.4037588981464
"B3",133,17.7326269613912
"C1",133,17.3928702790756
"C2",133,19.7748184492971
"C3",133,16.3144387749296
"D",133,65.8604109337045
"A",134,47.2079709245127
"B1",134,17.8174000895975
"B2",134,21.2843016253922
"B3",134,17.7904489645415
"C1",134,17.5388461808899
"C2",134,19.7910348611708
"C3",134,16.3678749085426
"D",134,66.139692721268
"A",135,47.3552724157636
"B1",135,17.8354586753717
"B2",135,21.3520672543681
"B3",135,17.8072160063626
"C1",135,17.5940118699752
"C2",135,19.8050558278496
"C3",135,16.3814622887612
"D",135,66.2320417016349
"A",136,47.3794049959418
"B1",136,18.1659638304545
"B2",136,21.7255136567093
"B3",136,18.0999948617318
"C1",136,17.6781445726717
"C2",136,20.1250984465621
"C3",136,16.6789800361345
"D",136,66.4079953110488
"A",137,47.0790272105986
"B1",137,17.517583238683
"B2",137,21.035655160753
"B3",137,17.4780148789801
"C1",137,17.3578802375239
"C2",137,19.5192021036039
"C3",137,16.0880994252416
"D",137,65.7296654187332
"A",138,47.1582387935437
"B1",138,17.614003812551
"B2",138,21.2106645903077
"B3",138,17.5604524581674
"C1",138,17.3639128941338
"C2",138,19.6019035073711
"C3",138,16.1474287086694
"D",138,65.771165586995
"A",139,47.1375947259527
"B1",139,17.6328140061321
"B2",139,21.2419270983479
"B3",139,17.5802474388803
"C1",139,17.3590902389124
"C2",139,19.6229834044902
"C3",139,16.1655252214651
"D",139,65.7452976884666
"A",14,47.3282439495733
"B1",14,17.6519227133647
"B2",14,21.1177785763871
"B3",14,17.6250835001988
"C1",14,17.5272977488436
"C2",14,19.6441919696247
"C3",14,16.2194319195674
"D",14,66.0359933245327
"A",140,47.0291280991357
"B1",140,17.7034109345266
"B2",140,21.2246406812515
"B3",140,17.6659029053131
"C1",140,17.4591644955102
"C2",140,19.6839092371822
"C3",140,16.2558889708418
"D",140,65.8585928834649
"A",141,47.3051927151502
"B1",141,17.4082793780238
"B2",141,20.9528622222284
"B3",141,17.3736025250864
"C1",141,17.3310672006315
"C2",141,19.4073999554329
"C3",141,15.9836095449884
"D",141,65.6721621663144
"A",142,47.3758834398177
"B1",142,17.9674436403936
"B2",142,21.4819980889783
"B3",142,17.9343732223875
"C1",142,17.659857467692
"C2",142,19.941828268271
"C3",142,16.5126013330674
"D",142,66.2952948047923
