"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"B3","CAPEX","Biomass","Conservative",0
"B3","FOM","Biomass","Advanced",1317251936.34316
"B3","FOM","Biomass","Moderate",1317251936.34316
"B3","FOM","Biomass","Conservative",1317251936.34316
"C1","CAPEX","Solar","Advanced",0
"C1","CAPEX","Solar","Moderate",0
"C1","CAPEX","Solar","Conservative",0
"C1","FOM","Solar","Advanced",2609964926.54789
"C1","FOM","Solar","Moderate",2894311091.12436
"C1","FOM","Solar","Conservative",3284823215.64096
"C1","CAPEX","Onshore Wind","Advanced",0
"C1","CAPEX","Onshore Wind","Moderate",0
"C1","CAPEX","Onshore Wind","Conservative",0
"C1","FOM","Onshore Wind","Advanced",1518084122.46578
"C1","FOM","Onshore Wind","Moderate",1829405877.49365
"C1","FOM","Onshore Wind","Conservative",1962368040.56402
"C1","CAPEX","Offshore Wind","Advanced",0
"C1","CAPEX","Offshore Wind","Moderate",0
"C1","CAPEX","Offshore Wind","Conservative",0
"C1","FOM","Offshore Wind","Advanced",1353368391.2302
"C1","FOM","Offshore Wind","Moderate",1468003452.86006
"C1","FOM","Offshore Wind","Conservative",1655796895.80346
"C1","CAPEX","Storage","Advanced",0
"C1","CAPEX","Storage","Moderate",0
"C1","CAPEX","Storage","Conservative",0
"C1","FOM","Storage","Advanced",3454251777.47016
"C1","FOM","Storage","Moderate",4458616283.50434
"C1","FOM","Storage","Conservative",6171801798.27252
"C1","CAPEX","Nuclear","Advanced",0
"C1","CAPEX","Nuclear","Moderate",0
"C1","CAPEX","Nuclear","Conservative",0
"C1","FOM","Nuclear","Advanced",6503537935.08848
"C1","FOM","Nuclear","Moderate",9032691576.51178
"C1","FOM","Nuclear","Conservative",10529537609.1909
"C1","CAPEX","SMR","Advanced",106225767812.337
"C1","CAPEX","SMR","Moderate",206722787326.268
"C1","CAPEX","SMR","Conservative",317814829635.587
"C1","FOM","SMR","Advanced",35415715616.082
"C1","FOM","SMR","Moderate",40818112913.4504
"C1","FOM","SMR","Conservative",64828767568.4213
"C1","CAPEX","Hydropower","Advanced",0
"C1","CAPEX","Hydropower","Moderate",0
"C1","CAPEX","Hydropower","Conservative",0
"C1","FOM","Hydropower","Advanced",1573026717.34992
"C1","FOM","Hydropower","Moderate",2806884488.29927
"C1","FOM","Hydropower","Conservative",2806884488.29927
"C1","CAPEX","Biomass","Advanced",0
"C1","CAPEX","Biomass","Moderate",0
"C1","CAPEX","Biomass","Conservative",0
"C1","FOM","Biomass","Advanced",1317251936.34316
"C1","FOM","Biomass","Moderate",1317251936.34316
"C1","FOM","Biomass","Conservative",1317251936.34316
"C2","CAPEX","Solar","Advanced",39182864348.0342
"C2","CAPEX","Solar","Moderate",46695934437.2685
"C2","CAPEX","Solar","Conservative",57708284888.6285
"C2","FOM","Solar","Advanced",9911104609.73579
"C2","FOM","Solar","Moderate",11204046326.1341
"C2","FOM","Solar","Conservative",13033490474.9358
"C2","CAPEX","Onshore Wind","Advanced",11143650945.2815
"C2","CAPEX","Onshore Wind","Moderate",11848905245.4193
"C2","CAPEX","Onshore Wind","Conservative",13553645962.6917
"C2","FOM","Onshore Wind","Advanced",3655544978.38793
"C2","FOM","Onshore Wind","Moderate",4619023962.61038
"C2","FOM","Onshore Wind","Conservative",5010885168.66052
"C2","CAPEX","Offshore Wind","Advanced",75018055916.0913
"C2","CAPEX","Offshore Wind","Moderate",92598505227.9805
"C2","CAPEX","Offshore Wind","Conservative",119169662294.734
"C2","FOM","Offshore Wind","Advanced",17430431371.4519
"C2","FOM","Offshore Wind","Moderate",19020006714.8261
"C2","FOM","Offshore Wind","Conservative",21786238599.8635
