"Simulation","Pathway","NPV"
"317","B3",4441963890.47912
"317","C1",5705419747.11804
"317","C2",6603501996.99288
"317","C3",3127927671.30398
"317","D",2444480659.15934
"318","A",451178559264.257
"318","B1",4962025853.7278
"318","B2",10806648875.6955
"318","B3",4227424010.77711
"318","C1",5461919140.42363
"318","C2",6320077656.14362
"318","C3",2994603489.74143
"318","D",2242992094.63973
"319","A",442055776806.831
"319","B1",4752577892.0832
"319","B2",10672762506.2976
"319","B3",4036076325.06279
"319","C1",5184110182.60343
"319","C2",6073873368.21451
"319","C3",2838554873.25859
"319","D",2104168278.98879
"32","A",449359005322.287
"32","B1",5134144635.62192
"32","B2",11440064634.7297
"32","B3",4417171000.16374
"32","C1",5570782444.90831
"32","C2",6587683481.05726
"32","C3",3108669771.84859
"32","D",2375439295.42331
"320","A",437449523117.788
"320","B1",4939052594.46808
"320","B2",10809676160.8854
"320","B3",4190674471.2279
"320","C1",5222682600.0558
"320","C2",6236271980.4414
"320","C3",2989342154.16063
"320","D",2142737196.85828
"321","A",440825168536.739
"321","B1",5094800991.11237
"321","B2",11314220637.2197
"321","B3",4282412117.08054
"321","C1",5233559211.92731
"321","C2",6447303538.3781
"321","C3",3034442985.71587
"321","D",2024831554.32357
"322","A",451025931507.955
"322","B1",5291319923.14398
"322","B2",12050059225.9122
"322","B3",4477810707.43397
"322","C1",5482586910.94983
"322","C2",6775937111.74418
"322","C3",3128982366.22038
"322","D",2330055520.38048
"323","A",450051843497.659
"323","B1",5089855382.52346
"323","B2",11411236892.0582
"323","B3",4314139178.44683
"323","C1",5439667669.19131
"323","C2",6530564052.0511
"323","C3",3031117293.20499
"323","D",2294834254.15478
"324","A",441094371654.414
"324","B1",5052178603.85267
"324","B2",11222928174.5732
"324","B3",4289835140.67924
"324","C1",5288624797.55195
"324","C2",6429627101.79437
"324","C3",3017506342.25478
"324","D",2188302739.66955
"325","A",460596087862.771
"325","B1",5155057178.33282
"325","B2",11451949648.7011
"325","B3",4422815726.39799
"325","C1",5716771923.09605
"325","C2",6610156231.94896
"325","C3",3145709853.44313
"325","D",2493075483.73331
"326","A",436962034099.523
"326","B1",4979913852.6011
"326","B2",10768181692.1904
"326","B3",4187412773.16301
"326","C1",5179666675.00945
"326","C2",6231836757.32123
"326","C3",3036134631.07321
"326","D",2061487343.1225
"327","A",449632032612.203
"327","B1",5240834418.11779
"327","B2",11548165872.9827
"327","B3",4434132185.36975
"327","C1",5417732992.18883
"327","C2",6637111371.01329
"327","C3",3154606910.62918
"327","D",2290227014.66206
"328","A",433235206053.951
"328","B1",4763697986.4711
"328","B2",10647362959.684
"328","B3",4036136748.40562
"328","C1",4972814664.78813
"328","C2",6029967382.25621
"328","C3",2811146573.03226
"328","D",2054023484.83518
"329","A",434180834508.192
"329","B1",4886562624.60914
"329","B2",10908825851.8177
"329","B3",4123597589.16816
"329","C1",5068025155.94777
"329","C2",6173852338.52395
"329","C3",2877931315.93979
"329","D",2068808890.77471
"33","A",434481542679.262
"33","B1",4652596498.71255
"33","B2",10306448593.3879
"33","B3",3967030895.83769
"33","C1",5124494168.28934
"33","C2",5912189039.32685
"33","C3",2795603403.98695
"33","D",2060557712.56909
"330","A",442085610101.261
"330","B1",5577773199.33513
"330","B2",12024033463.2942
"330","B3",4709101624.62651
"330","C1",5401089381.73274
"330","C2",6957246269.88399
"330","C3",3406497560.80136
"330","D",2315183384.78772
"331","A",436698818305.204
"331","B1",4979172946.29387
"331","B2",10862134036.3381
"331","B3",4200864959.19299
"331","C1",5188667873.15403
"331","C2",6220279401.26843
"331","C3",2993964079.91982
"331","D",2125850184.61751
"332","A",449448089301.081
"332","B1",5041581816.08556
"332","B2",10990661894.3203
"332","B3",4301388029.63151
"332","C1",5387143626.37251
