Facility_Unit.ID,Facility_ID,Unit_ID.x,Primary_Fuel_Type,Facility_Name,PM_lbs_mmBTU,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_HI_mmBtu_per_MW,mean_NOx_lbs_MW_estimate,mean_SO2_lbs_MW_estimate,mean_HI_mmBtu_per_MW_estimate,Stack_Height_ft,Year,Pathway,Simulation,total_generation_GWh,total_CO2_tons,total_NOx_lbs,total_SO2_lbs,total_HI_mmBtu,State,Fuel_type_1,Fuel_type_2,Ramp_hr,Fossil.NPC_MW,STATEFP,COUNTYFP,COUNTYNS,GEOIDFQ,GEOID,County,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry,County_State,NH3,PM2.5,NOx,SO2,VOC,PM10,SO2_ratio,CO
1678_2,1678,2,Pipeline Natural Gas,Waters River,0.01708,3.3901865463342,,5.64179070391495,0.121076329725233,0.00577486926598213,9.62259253041186,120,2025,A,1,21.44269,15979.4225676172,72694.7191552149,123.828731460982,206334.268625937,MA,Pipeline Natural Gas,Diesel Oil,1,49.9,25,9,606931,0500000US25009,25009,Essex,Essex County,MA,Massachusetts,06,1275604956,870173087,-70.9236|42.5428,"Essex, MA",14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,0.439070116235471,1055.8928601725
1682_9,1682,9,Pipeline Natural Gas,Cleary Flood,0.01086,1.60332054164342,0.0739221201994044,5.14702442554622,,,,187,2025,A,1,197.20198,124797.085601057,316177.985386755,14577.5884691205,2606867.69760653,MA,Pipeline Natural Gas,"Diesel Oil, Residual Oil",0.1666667,118,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-71.1061|41.8653,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
2367_4,2367,4,Coal,Schiller,0.0109179898124098,3.14423362977723,10.7668186477769,6.75883294658442,,,,226,2025,A,1,198.72891,240919.771886019,601514.877438964,2059629.08219906,2262420.28713614,NH,Coal,Residual Oil,12,50,33,15,873181,0500000US33015,33015,Rockingham,Rockingham County,NH,New Hampshire,06,1801152748,258528921,-70.7842|43.0978,"Rockingham, NH",9808.8732786793,7674.95745824685,69.4117599583048,2812.16787488218,872.604982332975,1209.74781641617,0.531683539557555,1278.10201343547
2367_6,2367,6,Coal,Schiller,0.0109179898124098,2.82475011630741,9.97377301446643,6.69766136033672,,,,226,2025,A,1,199.45439,235219.259513542,540807.250866436,1909347.05121155,2065684.6156916,NH,Coal,Residual Oil,12,50,33,15,873181,0500000US33015,33015,Rockingham,Rockingham County,NH,New Hampshire,06,1801152748,258528921,-70.7842|43.0978,"Rockingham, NH",9808.8732786793,7674.95745824685,69.4117599583048,2812.16787488218,872.604982332975,1209.74781641617,0.531683539557555,1278.10201343547
3236_10,3236,10,Pipeline Natural Gas,Manchester Street Station,0.01086,0.35130183062343,0.0093216302275336,6.02519500910613,,,,120,2025,A,1,622.33252,422549.656152031,211747.849662747,5615.1089955909,10483400.43352,RI,Pipeline Natural Gas,Diesel Oil,12,173,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.4042|41.8167,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
3236_11,3236,11,Pipeline Natural Gas,Manchester Street Station,0.01086,0.374628888900937,0.0105233858163834,6.16389562663567,,,,120,2025,A,1,657.04558,453198.009310833,239745.439231017,6730.57595740811,10496151.9498672,RI,Pipeline Natural Gas,Diesel Oil,12,171,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.4042|41.8167,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
3236_9,3236,9,Pipeline Natural Gas,Manchester Street Station,0.01086,0.406024227385971,0.0099692161106963,5.97004356114368,,,,120,2025,A,1,578.96507,400220.646473831,227549.244883486,5579.64797636047,10228035.2947315,RI,Pipeline Natural Gas,Diesel Oil,12,171,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.4042|41.8167,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
50002_1,50002,1,Pipeline Natural Gas,Pittsfield Generating,0.01086,0.283868148005778,,3.936142228699,0.0752493802444229,0.00429651113034719,7.15948584137344,120,2025,A,1,28.27852,18916.6234109519,7569.99263798281,183.544355515627,230992.899247848,MA,Pipeline Natural Gas,Diesel Oil,12,93.4,25,3,606928,0500000US25003,25003,Berkshire,Berkshire County,MA,Massachusetts,06,2400592147,50709767,-73.2181|42.4564,"Berkshire, MA",9356.70524237949,5269.34417740617,105.10923650829,2193.41161468243,624.705839624744,777.411711533014,0.414698162729659,997.41676720856
50002_2,50002,2,Pipeline Natural Gas,Pittsfield Generating,0.01086,0.272378692142495,,4.07663733754384,0.0752493802444229,0.00429651113034719,7.15948584137344,120,2025,A,1,33.35142,22782.4512242495,8618.01454097262,210.884768548211,271355.431684507,MA,Pipeline Natural Gas,Diesel Oil,12,93.4,25,3,606928,0500000US25003,25003,Berkshire,Berkshire County,MA,Massachusetts,06,2400592147,50709767,-73.2181|42.4564,"Berkshire, MA",9356.70524237949,5269.34417740617,105.10923650829,2193.41161468243,624.705839624744,777.411711533014,0.414698162729659,997.41676720856
50002_3,50002,3,Pipeline Natural Gas,Pittsfield Generating,0.01086,0.252982615632178,,4.07206053932513,0.0752493802444229,0.00429651113034719,7.15948584137344,120,2025,A,1,34.05643,22527.4734246103,8069.66299066381,230.653780146373,283372.870319067,MA,Pipeline Natural Gas,Diesel Oil,12,93.4,25,3,606928,0500000US25003,25003,Berkshire,Berkshire County,MA,Massachusetts,06,2400592147,50709767,-73.2181|42.4564,"Berkshire, MA",9356.70524237949,5269.34417740617,105.10923650829,2193.41161468243,624.705839624744,777.411711533014,0.414698162729659,997.41676720856
